Date	Heure	Latitude	Longitude	Nom Phase	Type De Phase	Type	Nom Appareil	Code Appareil	Nom Action	Code Action	Identificateur Operation	Observation	Num Station	Strate	Niveau de priorite	FUNES Tension Tribord (daN)	FUNES Vit. filage Tribord (m/s)	FUNES L. filee Tribord (m)	FUNES Tension babord (daN)	FUNES Vit. filage Babord (m/s)	FUNES L. filee Babord (m)	HYDRO Tension treuil (daN)	HYDRO Tension max. (daN)	HYDRO Vitesse de filage (m/s)	HYDRO Vitesse de filage prog. (m/s)	HYDRO Angle longitudinal (deg)	HYDRO Angle transversal (deg)	HYDRO Tension roller (daN)	HYDRO Charge portique (daN)	HYDRO L. filee (m)	EK8070 Sonde (m)	EK8070 Fq (kHz)	EK8038 Sonde (m)	EK8038 Fq (kHz)	EK8018 Sonde (m)	EK8018 Fq (kHz)	EK80200 Sonde (m)	EK80200 Fq (kHz)	EK80333 Sonde (m)	EK8033 Fq (kHz)	EK80120 Sonde (m)	EK80120 Fq (kHz)	ME70 Ha Sonde (m)	ME70 Ha Fq (kHz)	Sonde ref. (m)	Desc. sonde ref.	GILL Temp. air (deg C)	GILL Temp. eau (deg C)	GILL Humidite (%)	GILL Pression (mbar)	GILL Flux de chaleur (W/m2)	GILL Point de rosee (deg C)	GILL Vit. vent app. (nd)	GILL Dir. vent app. (deg)	GILL Vit. vent vrai (nd)	GILL Dir. vent vrai (deg)	METBA Temp. air (deg C)	METBA Temp. eau (deg C)	METBA Humidite (%)	METBA Pression (mbar)	METBA Flux de chaleur (W/m2)	METBA Point de rosee (deg C)	METBA Vit. vent app. (nd)	METBA Dir. vent app. (deg)	METBA Vit. vent vrai (nd)	METBA Dir. vent vrai (deg)	MARPORT Immersion (m)	MARPORT Temp. immersion (deg C)	MARPORT Altitude corde d'eau % fond (m)	MARPORT Vit. transversale (m/s)	MARPORT Vit. longitudinale (m/s)	MARPORT Dist. bourrelet % fond (m)	MARPORT Ouv. verticale (m)	MARPORT Ouv. horizontale (m)	MARPORT Dist. des panneaux (m)	PHINS B Date (j)	PHINS B Cap (deg)	PHINS B Roulis (deg)	PHINS B Tangage (deg)	PHINS B Pilonnement (deg)	PHINS B Flag de validite	PHINS T Date (j)	PHINS T Cap (deg)	PHINS T Roulis (deg)	PHINS T Tangage (deg)	PHINS T Pilonnement	PHINS T Flag de validite	PROPULSION SIR. Vitesse prop etrave (t/min)	PROPULSION SIR. Vitesse prop arriere (t/min)	PROPULSION SIR. Vitesse helice (t/min)	PROPULSION SIR. angle (deg)	CELE Celerite (m/s)	SBE3S Temp eau peak av (deg C)	SBE3S Temp eau peak av (deg C)	SBE21 Temp (deg C)	SBE21 Conductivite (mS/cm)	SBE21 Salinite (PSU)	SBE21 Celerite surf (m/s)	SBE21 Densite (kg/m3)	SBE21 Donnees brutes	THSAL Debit (l/min)	CUFES Debit (l/min)	CINNA Lat.	CINNA Long.	CINNA Altitude (m)	CINNA Vit. fond (nd)	CINNA Route fond (deg)	CINNA Vit. surf (nd)	CINNA Route surf (deg)	CINNA Vitesse derive (nd)	CINNA Cap derive (deg)	CINNA Cap (deg)	CINNA Roulis (deg)	CINNA Tangage (deg)	CINNA Pilonnement (m)	CINNA Sonde vert. (m)	CINNA Tirant d'eau	GRAVI Grav relative (mgal)	GRAVI AccX (m/s2)	GRAVI AccY (m/s2)	GRAVI Echelle	GRAVI Ordre filtre	GRAVI Delai filtre (s)	GRAVI GPS on?	GRAVI Status	GRAVI Date (j)	FERRYBOX Qualite	FERRYBOX Date (j)	FERRYBOX SBE45 temp. mer (deg C)	FERRYBOX SBE45 cond. (S/m)	FERRYBOX SBE45 sal. (PSU)	FERRYBOX SBE45 cel. (m/s)	FERRYBOX Optode oxygene (uM/l)	FERRYBOX Optode saturation (%)	FERRYBOX Optode temp. mer (deg C)	FERRYBOX Seapoint turbidite (FTU)	FERRYBOX AOA algue verte (ug/l)	FERRYBOX AOA algue bleue (ug/l)	FERRYBOX AOA diatomees (ug/l)	FERRYBOX AOA cryptophytes (ug/l)	FERRYBOX AOA yellow sub (ug/l)	FERRYBOX AOA temp.capteur (deg C	FERRYBOX AOA algue total (ug/l)	FERRYBOX FB ph valeur	FERRYBOX FB ph temp. mer (deg C)	FERRYBOX FB temp. air (deg C)	FERRYBOX Pression (mBar)	FERRYBOX Debit entree (l/min)	FERRYBOX Debit principal (l/min)	FERRYBOX Debit PCO2 (l/min)	FERRYBOX Debit bypass 2 (l/min)	FERRYBOX Debit AOA (l/min)	FERRYBOX Demi plein	FERRYBOX Plein	
05/03/2019	00:00:00	5,5815462	-16,2691457			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4955,6699	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,1	5	-1	-1	27,2	28,7	70,9	1012,6	0	21,457	10,1	0	1,7	327	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	133,06	-0,83	-0,48	-0,14	-1	0	133,05	-0,86	-0,49	-0,15	-1	-2,8	-0,5	122,8	2	1543,5601	-300	28,728	29,051	5,8305	35,6621	1543,6	22,6521	B3A4E597161446	40,68	-1	5,5815	-16,2691	19,183	11,99	133,59	10,43	126,31	1,93	183,1	133,08	-100	-100	-200	4955,7002	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	43529	29,08	5,839	35,699	1544,41	215,258	89,756	29,053	0,555	1,266	0	1,103	0	0	0	2,369	11	-190,195	27,01	137	19,102	4,864	2,765	2,647	0,834	1	1	
05/03/2019	00:00:30	5,5804	-16,267947			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	0	0	0	0	4955,0498	0	0	0	0	0	0	0	-1	-1	4955,0498	TL_EK80_18K	-300	-300	-1	-1	-1	-300	9,5	1	-1	-1	27,2	28,7	70,6	1012,9	0	21,387	10,5	356	1,7	352	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	130,03	0,52	-1,26	0,63	-1	0	130,01	0,49	-1,27	0,62	-1	-2,8	-0,5	124,4	0,7	1543,5601	-300	28,726	29,054	5,8306	35,6605	1543,6	22,6517	B3A9E5981613FD	41,68	-1	5,5804	-16,2679	19,872	11,86	133,5	10,71	124,1	2,02	183,44	130,06	-100	-100	-200	4955,1001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0003	29,08	5,839	35,698	1544,41	216,178	90,144	29,055	0,565	1,266	0	1,103	0	0	0	2,369	12	-190,164	27,01	-2,75	-0,02	0,008	-0,002	-0,006	-0,007	0	0	
05/03/2019	00:01:00	5,5792699	-16,2666906			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4954,9702	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,1	7	-1	-1	27,2	28,7	70,5	1012,7	0	21,364	9,7	3	2,5	305	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	133,37	0,42	-0,09	-0,64	-1	0	133,36	0,39	-0,1	-0,66	-1	-2,8	-0,5	122,1	1,7	1543,55	-300	28,727	29,059	5,8311	35,6598	1543,6	22,6509	B3B2E59D16141B	41,93	-1	5,5793	-16,2667	18,986	12,09	132,52	10,64	124,41	2,16	179,31	133,32	-100	-100	-200	4955	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0007	29,066	5,837	35,693	1544,37	211,523	88,209	29,059	1,035	1,266	0	1,103	0	0	0	2,369	11	-190,152	27,005	0	-0,02	0,008	-0,002	-0,006	-0,007	0	0	
05/03/2019	00:01:30	5,5780967	-16,2655016			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4955,77	TL_EK80_18K	-300	-300	-1	-1	-1	-300	9,6	3	-1	-1	27,3	28,7	70,9	1013	0	21,552	10,3	1	1,3	332	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	131,59	0,26	-1,05	0,69	-1	0	131,57	0,23	-1,06	0,71	-1	-2,8	-0,5	127,2	1,2	1543,5699	-300	28,734	29,058	5,8309	35,6593	1543,6	22,648	B3B0E59B1614EC	41,93	-1	5,5781	-16,2655	20,192	12,01	134,52	10,43	124,87	2,2	174,12	131,6	-100	-100	-200	4955,7998	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,001	29,024	0,798	4,055	1511,22	209,615	87,43	29,071	125,575	1,266	0	1,103	0	0	0	2,369	11	-190,117	27,005	1	-0,02	0,008	-0,002	-0,006	-0,007	1	1	
05/03/2019	00:02:00	5,5769568	-16,2642486			ACQAUTO									0	-1	-1	-1	-1	-1	-1	-10	-1	0	-1	-1000	-1000	-1	-1	2	0	0	0	0	4955,9702	0	0	0	0	0	0	0	-1	-1	4955,9702	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,4	6	-1	-1	27,2	28,7	71,1	1012,7	0	21,503	9,5	1	2,5	321	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	131,76	-0,51	-0,7	-0,39	-1	0	131,74	-0,54	-0,71	-0,43	-1	-2,8	-0,5	122	1,3	1543,5601	-300	28,732	29,06	5,831	35,6587	1543,6	22,6483	B3B3E59C1614AA	42,43	-1	5,577	-16,2642	19,13	12,09	132,47	10,83	124,46	2,2	178,56	131,7	-100	-100	-200	4956	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0014	27,991	0,559	2,835	1507,4399	210,129	86,226	28,142	2,875	1,266	0	1,103	0	0	0	2,369	12	-189,934	27,005	135,75	-0,02	3,885	2,154	1,827	0,592	1	1	
05/03/2019	00:02:30	5,575791	-16,2630471			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4955,1499	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,5	9	-1	-1	27,3	28,7	71,2	1012,7	0	21,621	10,7	2	1,1	325	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	132,34	-0,84	-0,37	1,19	-1	0	132,33	-0,86	-0,38	1,25	-1	-2,8	-0,5	125	1,9	1543,5699	-300	28,734	29,062	5,8311	35,658	1543,6	22,6471	B3B6E59D1614E4	42,68	-1	5,5758	-16,263	20,248	12,05	134,42	10,8	125,32	2,16	175,77	132,41	-100	-100	-200	4955,1001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0017	29,97	0,442	2,12	1511,36	226,322	94,3	29,011	4,825	1,266	0	1,103	0	0	0	2,369	11	-189,809	27	134,5	-0,02	3,928	2,23	2,003	0,567	1	1	
05/03/2019	00:03:00	5,5746399	-16,2618224			ACQAUTO									0	-1	-1	-1	-1	-1	-1	-10	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4955,8101	TL_EK80_18K	-300	-300	-1	-1	-1	-300	9,9	5	-1	-1	27,3	28,7	71,2	1012,7	0	21,621	9,1	2	2,5	308	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	131,26	-0,27	0,43	-0,8	-1	0	131,24	-0,3	0,43	-0,78	-1	-2,8	-0,5	125,1	0,3	1543,5699	-300	28,735	29,064	5,8313	35,6575	1543,6	22,6464	B3BAE59F161500	42,43	-1	5,5746	-16,2618	18,556	12,05	133,32	10,84	124,64	2,18	183,06	131,24	-100	-100	-200	4955,7998	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0021	31,209	0,781	3,795	1515,91	227,253	97,103	30,465	5,61	1,266	0	1,103	0	0	0	2,369	-2	-189,684	27	131	-0,02	4,536	2,631	2,418	0,706	1	1	
05/03/2019	00:03:30	5,5734804	-16,2606328			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	0	0	0	0	4955,3101	0	0	0	0	0	0	0	-1	-1	4955,3101	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,9	11	-1	-1	27,3	28,7	70,9	1013	0	21,552	10,8	7	1,3	263	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	133,8	0,42	-0,71	0,42	-1	0	133,78	0,4	-0,72	0,45	-1	-2,8	-0,5	124,1	2,3	1543,58	-300	28,732	29,066	5,8314	35,6573	1543,6	22,6471	B3BCE5A01614B7	42,43	-1	5,5735	-16,2606	19,791	11,94	134,69	10,85	125,92	2,14	182,81	133,81	-100	-100	-200	4955,2998	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0024	31,148	0,75	3,639	1515,61	220,419	94,596	30,72	4,305	1,266	0	1,103	0	0	0	2,369	-2	-189,59	26,98	138,5	-0,02	4,498	2,575	2,467	0,681	1	1	
05/03/2019	00:04:00	5,5723053	-16,2594366			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4955,5698	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10	7	-1	-1	27,3	28,7	70,4	1012,7	0	21,437	9,5	2	2,3	308	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	130,56	-0,31	-0,28	-0,36	-1	0	130,67	-0,33	-0,29	-0,35	-1	-2,8	-0,5	124,3	0,4	1543,58	-300	28,748	29,064	5,8312	35,6568	1543,6	22,6415	B3BAE59E16166F	42,43	-1	5,5723	-16,2594	18,867	12	134,04	10,69	123,86	2,16	185,39	130,72	-100	-100	-200	4955,6001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0028	31,112	0,75	3,637	1515,53	220,946	95,011	30,836	9,515	1,266	0	1,103	0	0	0	2,369	-2	-189,535	26,98	129	-0,02	4,498	2,573	2,457	0,681	1	1	
05/03/2019	00:04:30	5,5711668	-16,2582097			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4955,2002	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10	7	-1	-1	27,3	28,7	70,4	1012,8	0	21,437	10,3	3	1,7	308	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	133,06	-0,95	-0,5	0,1	-1	0	133,05	-0,98	-0,5	0,1	-1	-2,8	-0,5	122,8	1,2	1543,6	-300	28,747	29,068	5,8314	35,6555	1543,6	22,6408	B3C0E5A0161652	42,18	-1	5,5712	-16,2582	19,529	12,03	133,41	10,51	125,14	2,25	182,34	133,05	-100	-100	-200	4955,2002	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43529,0031	31,089	0,749	3,637	1515,48	221,585	95,349	30,875	3,205	1,266	0	1,103	0	0	0	2,369	-2	-189,5	26,975	134	-0,02	4,455	2,555	2,475	0,706	1	1	
