Date	Heure	Latitude	Longitude	Nom Phase	Type De Phase	Type	Nom Appareil	Code Appareil	Nom Action	Code Action	Identificateur Operation	Observation	Num Station	Strate	Niveau de priorite	FUNES Tension Tribord (daN)	FUNES Vit. filage Tribord (m/s)	FUNES L. filee Tribord (m)	FUNES Tension babord (daN)	FUNES Vit. filage Babord (m/s)	FUNES L. filee Babord (m)	HYDRO Tension treuil (daN)	HYDRO Tension max. (daN)	HYDRO Vitesse de filage (m/s)	HYDRO Vitesse de filage prog. (m/s)	HYDRO Angle longitudinal (deg)	HYDRO Angle transversal (deg)	HYDRO Tension roller (daN)	HYDRO Charge portique (daN)	HYDRO L. filee (m)	EK8070 Sonde (m)	EK8070 Fq (kHz)	EK8038 Sonde (m)	EK8038 Fq (kHz)	EK8018 Sonde (m)	EK8018 Fq (kHz)	EK80200 Sonde (m)	EK80200 Fq (kHz)	EK80333 Sonde (m)	EK8033 Fq (kHz)	EK80120 Sonde (m)	EK80120 Fq (kHz)	ME70 Ha Sonde (m)	ME70 Ha Fq (kHz)	Sonde ref. (m)	Desc. sonde ref.	GILL Temp. air (deg C)	GILL Temp. eau (deg C)	GILL Humidite (%)	GILL Pression (mbar)	GILL Flux de chaleur (W/m2)	GILL Point de rosee (deg C)	GILL Vit. vent app. (nd)	GILL Dir. vent app. (deg)	GILL Vit. vent vrai (nd)	GILL Dir. vent vrai (deg)	METBA Temp. air (deg C)	METBA Temp. eau (deg C)	METBA Humidite (%)	METBA Pression (mbar)	METBA Flux de chaleur (W/m2)	METBA Point de rosee (deg C)	METBA Vit. vent app. (nd)	METBA Dir. vent app. (deg)	METBA Vit. vent vrai (nd)	METBA Dir. vent vrai (deg)	MARPORT Immersion (m)	MARPORT Temp. immersion (deg C)	MARPORT Altitude corde d'eau % fond (m)	MARPORT Vit. transversale (m/s)	MARPORT Vit. longitudinale (m/s)	MARPORT Dist. bourrelet % fond (m)	MARPORT Ouv. verticale (m)	MARPORT Ouv. horizontale (m)	MARPORT Dist. des panneaux (m)	PHINS B Date (j)	PHINS B Cap (deg)	PHINS B Roulis (deg)	PHINS B Tangage (deg)	PHINS B Pilonnement (deg)	PHINS B Flag de validite	PHINS T Date (j)	PHINS T Cap (deg)	PHINS T Roulis (deg)	PHINS T Tangage (deg)	PHINS T Pilonnement	PHINS T Flag de validite	PROPULSION SIR. Vitesse prop etrave (t/min)	PROPULSION SIR. Vitesse prop arriere (t/min)	PROPULSION SIR. Vitesse helice (t/min)	PROPULSION SIR. angle (deg)	CELE Celerite (m/s)	SBE3S Temp eau peak av (deg C)	SBE3S Temp eau peak av (deg C)	SBE21 Temp (deg C)	SBE21 Conductivite (mS/cm)	SBE21 Salinite (PSU)	SBE21 Celerite surf (m/s)	SBE21 Densite (kg/m3)	SBE21 Donnees brutes	THSAL Debit (l/min)	CUFES Debit (l/min)	CINNA Lat.	CINNA Long.	CINNA Altitude (m)	CINNA Vit. fond (nd)	CINNA Route fond (deg)	CINNA Vit. surf (nd)	CINNA Route surf (deg)	CINNA Vitesse derive (nd)	CINNA Cap derive (deg)	CINNA Cap (deg)	CINNA Roulis (deg)	CINNA Tangage (deg)	CINNA Pilonnement (m)	CINNA Sonde vert. (m)	CINNA Tirant d'eau	GRAVI Grav relative (mgal)	GRAVI AccX (m/s2)	GRAVI AccY (m/s2)	GRAVI Echelle	GRAVI Ordre filtre	GRAVI Delai filtre (s)	GRAVI GPS on?	GRAVI Status	GRAVI Date (j)	FERRYBOX Qualite	FERRYBOX Date (j)	FERRYBOX SBE45 temp. mer (deg C)	FERRYBOX SBE45 cond. (S/m)	FERRYBOX SBE45 sal. (PSU)	FERRYBOX SBE45 cel. (m/s)	FERRYBOX Optode oxygene (uM/l)	FERRYBOX Optode saturation (%)	FERRYBOX Optode temp. mer (deg C)	FERRYBOX Seapoint turbidite (FTU)	FERRYBOX AOA algue verte (ug/l)	FERRYBOX AOA algue bleue (ug/l)	FERRYBOX AOA diatomees (ug/l)	FERRYBOX AOA cryptophytes (ug/l)	FERRYBOX AOA yellow sub (ug/l)	FERRYBOX AOA temp.capteur (deg C	FERRYBOX AOA algue total (ug/l)	FERRYBOX FB ph valeur	FERRYBOX FB ph temp. mer (deg C)	FERRYBOX FB temp. air (deg C)	FERRYBOX Pression (mBar)	FERRYBOX Debit entree (l/min)	FERRYBOX Debit principal (l/min)	FERRYBOX Debit PCO2 (l/min)	FERRYBOX Debit bypass 2 (l/min)	FERRYBOX Debit AOA (l/min)	FERRYBOX Demi plein	FERRYBOX Plein	
01/03/2019	10:04:30	16,8894957	-24,9993253			ACQAUTO									0	380	0	0	60	0	0	-20	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	20,6	358	-1	-1	21,9	21,9	59,9	1019,9	374	13,762	20,8	359	20,6	39	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	40,9	-0,29	-0,46	0,01	-1	0	40,88	-0,31	-0,47	0,04	-1	-0,1	45,2	-0,9	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8895	-24,9993	31,289	0,12	185,96	0,13	32,51	0,1	183,51	40,89	-100	-100	-200	13,2	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:05:00	16,8894612	-24,9993302			ACQAUTO									0	380	0	0	80	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	22,7	18	-1	-1	21,9	21,9	60,3	1019,8	371	13,864	23,1	15	23,1	55	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	39,36	-0,65	-0,45	0,05	-1	0	39,34	-0,67	-0,46	0,03	-1	52,5	60,3	-0,9	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8895	-24,9993	31,315	0,25	189,4	0,15	305,63	0,23	200,75	39,36	-100	-100	-200	13,6	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:05:30	16,8894061	-24,9993418			ACQAUTO									0	380	0	0	50	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	22,9	8	-1	-1	21,9	21,9	60,2	1019,9	371	13,839	21,9	10	22,3	49	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	39,41	-0,52	-0,4	-0,01	-1	0	39,39	-0,55	-0,41	-0,01	-1	33,2	66,8	-0,9	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8894	-24,9993	31,277	0,4	190,79	0,29	185,18	0,32	190,98	39,41	-100	-100	-200	13,3	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:06:00	16,8893357	-24,9993525			ACQAUTO									0	390	0	0	70	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	17,8	13	-1	-1	21,9	21,9	60,5	1019,9	374	13,915	16,5	7	16,9	44	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	37,64	-0,92	-0,29	0	-1	0	37,62	-0,95	-0,3	0	-1	56,3	77,2	-1	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8893	-24,9994	31,239	0,51	187,33	0,34	190,07	0,24	183,49	37,65	-100	-100	-200	6,5	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:06:30	16,8892479	-24,9993557			ACQAUTO									0	410	0	0	70	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	16,3	13	-1	-1	21,9	21,9	60,6	1020	380	13,941	15,5	13	15,9	49	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	37,14	-0,65	-0,39	0	-1	0	37,12	-0,68	-0,4	-0,02	-1	14	77,4	-0,9	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8892	-24,9994	31,243	0,62	182,08	0,54	175,24	0,21	179,17	37,15	-100	-100	-200	6,7	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:07:00	16,8891513	-24,9993505			ACQAUTO									0	430	0	0	90	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	14,3	359	-1	-1	21,9	21,9	60,9	1020	381	14,017	14,2	359	14,7	32	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	33,84	-0,41	-0,39	0	-1	0	33,82	-0,43	-0,4	0,01	-1	33,7	77,7	-0,9	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8892	-24,9994	31,353	0,69	177,18	0,59	163,81	0,13	209,82	33,86	-100	-100	-200	6,5	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:07:30	16,8890386	-24,9993472			ACQAUTO									0	400	0	0	70	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	20,3	22	-1	-1	21,9	21,9	60,5	1019,9	388	13,915	20,4	19	21	48	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	28,68	-0,96	-0,36	-0,05	-1	0	28,66	-0,99	-0,36	-0,07	-1	23,9	26	-29,7	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,889	-24,9993	31,361	0,82	180,3	0,42	197,12	0,17	201,6	28,71	-100	-100	-200	6,4	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:08:00	16,8889074	-24,9993831			ACQAUTO									0	400	0	0	50	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	14,4	28	-1	-1	21,9	21,9	60,3	1020	386	13,864	14,9	40	15,7	62	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	23,74	-0,39	-0,29	-0,01	-1	0	23,72	-0,41	-0,3	0	-1	0	-1,1	-45,3	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8889	-24,9994	31,405	0,97	194,79	0,7	207,87	0,33	183,33	23,76	-100	-100	-200	6,5	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:08:30	16,8887518	-24,9994496			ACQAUTO									0	360	0	0	70	0	0	-20	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	14	15	-1	-1	21,9	21,9	60,8	1020	394	13,991	16,1	28	17,1	48	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	19,25	-0,55	-0,35	0,01	-1	0	19,23	-0,58	-0,36	0,01	-1	0	-1	-45,5	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8888	-24,9994	31,418	1,21	201,83	0,61	219,84	0,41	183,88	19,28	-100	-100	-200	6,4	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
01/03/2019	10:09:00	16,888563	-24,999525			ACQAUTO									0	380	0	0	80	0	0	0	-1	0	-1	-1000	-1000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.000000	-300	-300	-1	-1	-1	-300	16,7	19	-1	-1	21,9	21,9	61	1020	392	14,042	17,5	10	19	27	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	15,42	-0,37	-0,34	-0,01	-1	0	15,4	-0,4	-0,35	-0,03	-1	0,2	55,2	-53	1,3	0	-300	-300	-300	-1	-1	0	0	-1.000000	0	-1	16,8886	-24,9995	31,452	1,45	200,22	1,17	207,27	0,64	188,63	15,45	-100	-100	-200	6,2	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	0	-300	-1	-1	0	-1	-1	-300	-1	-1	-1	-1	-1	-1	-300	-1	-1	-300	-300	-1	-1	-1	-1	-1	-1	-127	-127	
