Date	Latitude	Longitude	Nom Phase	Type De Phase	Type	Nom Appareil	Code Appareil	Nom Action	Code Action	Identificateur Operation	Observation	Num Station	Strate	Niveau de priorite	FUNES Tension Tribord (daN)	FUNES Vit. filage Tribord (m/s)	FUNES L. filee Tribord (m)	FUNES Tension babord (daN)	FUNES Vit. filage Babord (m/s)	FUNES L. filee Babord (m)	HYDRO Tension treuil (daN)	HYDRO Tension max. (daN)	HYDRO Vitesse de filage (m/s)	HYDRO Vitesse de filage prog. (m/s)	HYDRO Angle longitudinal (deg)	HYDRO Angle transversal (deg)	HYDRO Tension roller (daN)	HYDRO Charge portique (daN)	HYDRO L. filee (m)	EK8070 Sonde (m)	EK8070 Fq (kHz)	EK8038 Sonde (m)	EK8038 Fq (kHz)	EK8018 Sonde (m)	EK8018 Fq (kHz)	EK80200 Sonde (m)	EK80200 Fq (kHz)	EK80333 Sonde (m)	EK8033 Fq (kHz)	EK80120 Sonde (m)	EK80120 Fq (kHz)	ME70 Ha Sonde (m)	ME70 Ha Fq (kHz)	Sonde ref. (m)	Desc. sonde ref.	GILL Temp. air (deg C)	GILL Temp. eau (deg C)	GILL Humidite (%)	GILL Pression (mbar)	GILL Flux de chaleur (W/m2)	GILL Point de rosee (deg C)	GILL Vit. vent app. (nd)	GILL Dir. vent app. (deg)	GILL Vit. vent vrai (nd)	GILL Dir. vent vrai (deg)	METBA Temp. air (deg C)	METBA Temp. eau (deg C)	METBA Humidite (%)	METBA Pression (mbar)	METBA Flux de chaleur (W/m2)	METBA Point de rosee (deg C)	METBA Vit. vent app. (nd)	METBA Dir. vent app. (deg)	METBA Vit. vent vrai (nd)	METBA Dir. vent vrai (deg)	MARPORT Immersion (m)	MARPORT Temp. immersion (deg C)	MARPORT Altitude corde d'eau % fond (m)	MARPORT Vit. transversale (m/s)	MARPORT Vit. longitudinale (m/s)	MARPORT Dist. bourrelet % fond (m)	MARPORT Ouv. verticale (m)	MARPORT Ouv. horizontale (m)	MARPORT Dist. des panneaux (m)	PHINS B Date (j)	PHINS B Cap (deg)	PHINS B Roulis (deg)	PHINS B Tangage (deg)	PHINS B Pilonnement (deg)	PHINS B Flag de validite	PHINS T Date (j)	PHINS T Cap (deg)	PHINS T Roulis (deg)	PHINS T Tangage (deg)	PHINS T Pilonnement	PHINS T Flag de validite	PROPULSION SIR. Vitesse prop etrave (t/min)	PROPULSION SIR. Vitesse prop arriere (t/min)	PROPULSION SIR. Vitesse helice (t/min)	PROPULSION SIR. angle (deg)	CELE Celerite (m/s)	SBE3S Temp eau peak av (deg C)	SBE3S Temp eau peak av (deg C)	SBE21 Temp (deg C)	SBE21 Conductivite (mS/cm)	SBE21 Salinite (PSU)	SBE21 Celerite surf (m/s)	SBE21 Densite (kg/m3)	SBE21 Donnees brutes	THSAL Debit (l/min)	CUFES Debit (l/min)	CINNA Lat.	CINNA Long.	CINNA Altitude (m)	CINNA Vit. fond (nd)	CINNA Route fond (deg)	CINNA Vit. surf (nd)	CINNA Route surf (deg)	CINNA Vitesse derive (nd)	CINNA Cap derive (deg)	CINNA Cap (deg)	CINNA Roulis (deg)	CINNA Tangage (deg)	CINNA Pilonnement (m)	CINNA Sonde vert. (m)	CINNA Tirant d'eau	FERRYBOX Qualite	FERRYBOX Date (j)	FERRYBOX SBE45 temp. mer (deg C)	FERRYBOX SBE45 cond. (S/m)	FERRYBOX SBE45 sal. (PSU)	FERRYBOX SBE45 cel. (m/s)	FERRYBOX Optode oxygene (uM/l)	FERRYBOX Optode saturation (%)	FERRYBOX Optode temp. mer (deg C)	FERRYBOX Seapoint turbidite (FTU)	FERRYBOX AOA algue verte (ug/l)	FERRYBOX AOA algue bleue (ug/l)	FERRYBOX AOA diatomees (ug/l)	FERRYBOX AOA cryptophytes (ug/l)	FERRYBOX AOA yellow sub (ug/l)	FERRYBOX AOA temp.capteur (deg C	FERRYBOX AOA algue total (ug/l)	FERRYBOX FB ph valeur	FERRYBOX FB ph temp. mer (deg C)	FERRYBOX FB temp. air (deg C)	FERRYBOX Pression (mBar)	FERRYBOX Debit entree (l/min)	FERRYBOX Debit principal (l/min)	FERRYBOX Debit PCO2 (l/min)	FERRYBOX Debit bypass 2 (l/min)	FERRYBOX Debit AOA (l/min)	FERRYBOX Demi plein	FERRYBOX Plein	ENG1 Lat.	ENG1 Long.	ENG1 X (m)	ENG1 Y (m)	ENG1 Sonde (m)	ENG1 Mode	ENG1 Systeme	ENG1 Altitude	ENG1 Vit. fond (nd)	ENG1 Route fond (deg)	ENG1 Vit. surf (nd)	ENG1 Route surf (deg)	ENG1 Bearing (deg)	ENG1 Hordist (m)	ENG1 Truedist (m)	ENG1 Cap (deg)	ENG2 Lat.	ENG2 Long.	ENG2 X (m)	ENG2 Y (m)	ENG2 Sonde (m)	ENG2 Mode	ENG2 Systeme	ENG2 Altitude	ENG2 Vit. fond (nd)	ENG2 Route fond (deg)	ENG2 Vit. surf (nd)	ENG2 Route surf (deg)	ENG2 Bearing (deg)	ENG2 Hordist (m)	ENG2 Truedist (m)	ENG2 Cap (deg)	
2023-03-06T23:59:00	N 11° 27,93551'	W 22° 58,28971'			ACQAUTO									0	830	0	0	920	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5080,8799	TL_EK80_18K	-300	-300	-1	-1	-1	-300	5,8	231	-1	-1	24	25,3	82,9	1011,8	0	20,912	4,2	246	9,1	24	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	169,95	-0,02	-0,05	0,55	-1	0	169,95	-0,05	-0,04	0,59	-1	-0,1	-0,6	23,3	1,5	0	-300	25,295	25,672	5,4559	35,5761	1535,7	23,6864	AC6CD4F4294232	47,33	47,24	11,4656	-22,9715	16,757	5,98	176,9	5,9	169,91	0,43	294,48	169,91	-100	-100	-200	5080,8999	-1	0	44991,9992	25,704	5,46	35,59	1536,72	247,24	97,12	25,714	1,365	0	0	0	0	0	0	0	8	26,178	24,01	132,25	18,271	4,332	4,863	3,7	0,694	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T23:59:30	N 11° 27,89028'	W 22° 58,28615'			ACQAUTO									0	840	0	0	940	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5080,96	TL_EK80_18K	-300	-300	-1	-1	-1	-300	6,2	228	-1	-1	23,9	25,3	82,7	1011,8	0	20,775	4,6	249	8,5	19	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	164,71	2,08	1,85	-0,01	-1	0	164,71	2,06	1,86	0,01	-1	-0,1	-0,6	23,5	9,2	0	-300	25,294	25,666	5,4551	35,5749	1535,7	23,6858	AC62D4EC2941FA	47,08	56,38	11,4648	-22,9714	16,408	5,52	175,12	5,8	166,88	0,53	293,07	164,91	-100	-100	-200	5081	-1	0	44991,9996	25,697	5,459	35,59	1536,71	246,862	96,97	25,713	1,36	0	0	0	0	0	0	0	8	26,167	24,005	130,25	18,338	4,455	4,959	3,754	0,719	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:00:00	N 11° 27,85152'	W 22° 58,2801'			ACQAUTO									0	840	0	0	950	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	0	0	0	0	5080,8501	0	0	0	0	0	0	0	-1	-1	5080,8501	TL_EK80_18K	-300	-300	-1	-1	-1	-300	7,9	253	-1	-1	23,8	25,3	82,7	1011,8	0	20,678	6,4	253	9,7	22	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	147,55	1,89	0,34	-0,58	-1	0	147,56	1,86	0,35	-0,58	-1	-0,1	-0,6	24	9,2	0	-300	25,291	25,662	5,4547	35,5747	1535,7	23,6867	AC5CD4E8294156	47,08	0	11,4642	-22,9713	15,874	4,77	170,42	4,92	152,54	0,88	285,91	147,87	-100	-100	-200	5080,8999	-1	0	44991,9999	25,692	5,459	35,59	1536,7	246,811	96,932	25,703	1,36	0	0	0	0	0	0	0	8	0	23,97	137,25	18,145	4,336	4,921	3,724	0,719	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:00:30	N 11° 27,82187'	W 22° 58,26712'			ACQAUTO									0	800	0	0	940	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5081,04	TL_EK80_18K	-300	-300	-1	-1	-1	-300	9,6	268	-1	-1	23,8	25,5	82,9	1011,7	0	20,717	7,1	274	8,9	21	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	120,36	1,53	-0,52	0,47	-1	0	120,37	1,5	-0,51	0,47	-1	-0,1	-0,6	24	9,1	0	-300	25,291	25,66	5,4544	35,5739	1535,7	23,686	AC59D4E5294155	47,33	32	11,4637	-22,9711	16,359	3,82	156,61	4,18	131,87	1,36	282,66	120,83	-100	-100	-200	5081	-1	0	44992,0003	25,689	5,459	35,59	1536,6899	246,859	96,939	25,696	1,375	0	0	0	0	0	0	0	8	26,155	23,96	136	18,397	4,417	4,959	3,772	0,71	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:01:00	N 11° 27,80464'	W 22° 58,24926'			ACQAUTO									0	840	0	0	930	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5080,9302	TL_EK80_18K	-300	-300	-1	-1	-1	-300	8,8	288	-1	-1	23,9	25,3	83,4	1011,8	0	20,913	7,9	292	8,7	16	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	94,33	0,45	-1,25	0	-1	0	94,33	0,41	-1,24	-0,01	-1	-0,1	-0,6	23,5	9	0	-300	25,289	25,657	5,4541	35,574	1535,7	23,6867	AC54D4E22940FB	47,33	42,67	11,4634	-22,9708	16,496	2,91	136,04	2,6	94,91	1,39	251,63	94,91	-100	-100	-200	5080,8999	-1	0	44992,0006	25,687	5,458	35,59	1536,6801	246,867	96,943	25,697	1,37	0	0	0	0	0	0	0	8	26,155	23,98	131,25	18,271	4,374	4,957	3,736	0,731	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:01:30	N 11° 27,79857'	W 22° 58,23271'			ACQAUTO									0	810	0	0	930	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	0	0	0	0	5080,98	0	0	0	0	0	0	0	-1	-1	5080,98	TL_EK80_18K	-300	-300	-1	-1	-1	-300	11,4	300	-1	-1	23,9	25,3	83,1	1011,8	0	20,854	10,8	311	10,3	22	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	75,38	-0,8	1,39	0,39	-1	0	75,39	-0,82	1,41	0,44	-1	-0,1	-0,6	22,6	7,5	0	-300	25,287	25,655	5,4539	35,574	1535,7	23,6872	AC51D4E029409D	47,33	54,86	11,4633	-22,9705	16,288	2,07	112,36	2,62	82,02	0,92	231,52	75,44	-100	-100	-200	5081	-1	0	44992,001	25,685	5,458	35,589	1536,6801	246,841	96,93	25,695	1,36	0	0	0	0	0	0	0	8	26,155	23,95	129,5	18,271	4,451	4,979	3,774	0,719	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:02:00	N 11° 27,79859'	W 22° 58,21938'			ACQAUTO									0	850	0	0	920	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5080,8398	TL_EK80_18K	-300	-300	-1	-1	-1	-300	11	316	-1	-1	23,9	25,3	82,9	1011,8	0	20,815	10,1	318	9,1	19	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	60,59	1,86	0,31	-0,01	-1	0	60,6	1,83	0,32	-0,01	-1	-0,1	-0,6	23,2	1,2	0	-300	25,282	25,655	5,4539	35,574	1535,7	23,6887	AC51D4E0293F8B	47,08	33,52	11,4633	-22,9703	16,298	1,57	89,67	1,43	72,86	0,62	206,25	60,77	-100	-100	-200	5080,7998	-1	0	44992,0013	25,684	5,458	35,589	1536,6801	246,712	96,867	25,688	1,365	0	0	0	0	0	0	0	8	26,155	23,975	134,5	18,53	4,502	5,074	3,832	0,733	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:02:30	N 11° 27,80161'	W 22° 58,20935'			ACQAUTO									0	860	0	0	940	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5080,7598	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,2	322	-1	-1	23,9	25,3	82,8	1011,7	0	20,795	9,7	324	9,3	10	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	52,86	0,18	0,07	-0,49	-1	0	52,87	0,16	0,09	-0,5	-1	-0,1	-0,6	22,5	-4,2	0	-300	25,281	25,652	5,4535	35,5738	1535,7	23,6889	AC4BD4DC293F55	47,08	38,1	11,4634	-22,9702	15,98	1,25	73,43	1,32	44,11	0,42	196,6	52,86	-100	-100	-200	5080,7998	-1	0	44992,0017	25,681	5,458	35,589	1536,67	246,658	96,846	25,688	1,365	0	0	0	0	0	0	0	8	26,144	23,97	132,75	18,524	4,417	4,941	3,754	0,731	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:03:00	N 11° 27,80684'	W 22° 58,20135'			ACQAUTO									0	830	0	0	920	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	0	0	0	0	5080,8101	0	0	0	0	0	0	0	-1	-1	5080,8101	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,7	325	-1	-1	24	25,3	82,8	1011,7	0	20,893	10,5	327	9,5	11	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	46,09	0,07	0,33	-0,23	-1	0	46,1	0,05	0,34	-0,24	-1	-0,1	-0,6	22,6	-6	0	-300	25,284	25,648	5,4532	35,574	1535,7	23,6882	AC46D4D9293FEC	47,08	36,57	11,4634	-22,97	15,844	1,15	57,33	1,3	46,17	0,46	195,19	46,17	-100	-100	-200	5080,7998	-1	0	44992,002	25,679	5,457	35,589	1536,66	246,608	96,823	25,686	1,365	0	0	0	0	0	0	0	8	0	23,975	135,5	18,377	4,336	4,941	3,716	0,718	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-07T00:03:30	N 11° 27,81268'	W 22° 58,1953'			ACQAUTO									0	850	0	0	930	0	0	0	-1	0	-1	-1000	-1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5080,79	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,7	337	-1	-1	23,9	25,3	82,8	1011,7	0	20,795	10,7	334	10,1	16	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	42,48	0,69	-0,08	0,41	-1	0	42,49	0,66	-0,07	0,41	-1	-0,1	-0,6	22,9	-10,7	0	-300	25,283	25,648	5,4531	35,5732	1535,7	23,6879	AC46D4D8293FBA	47,33	28,95	11,4635	-22,9699	16,673	1,01	45,51	1,3	46,89	0,24	212,05	42,49	-100	-100	-200	5080,7998	-1	0	44992,0024	25,676	5,457	35,589	1536,66	246,684	96,848	25,684	1,94	0	0	0	0	0	0	0	8	26,144	23,98	132,5	18,464	4,455	4,979	3,812	0,731	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
