Date	Latitude	Longitude	Nom Phase	Type De Phase	Type	Nom Appareil	Code Appareil	Nom Action	Code Action	Identificateur Operation	Observation	Num Station	Strate	Niveau de priorite	FUNES Tension Tribord (daN)	FUNES Vit. filage Tribord (m/s)	FUNES L. filee Tribord (m)	FUNES Tension babord (daN)	FUNES Vit. filage Babord (m/s)	FUNES L. filee Babord (m)	HYDRO Tension treuil (daN)	HYDRO Tension max. (daN)	HYDRO Vitesse de filage (m/s)	HYDRO Vitesse de filage prog. (m/s)	HYDRO Angle longitudinal (deg)	HYDRO Angle transversal (deg)	HYDRO Tension roller (daN)	HYDRO Charge portique (daN)	HYDRO L. filee (m)	EK8070 Sonde (m)	EK8070 Fq (kHz)	EK8038 Sonde (m)	EK8038 Fq (kHz)	EK8018 Sonde (m)	EK8018 Fq (kHz)	EK80200 Sonde (m)	EK80200 Fq (kHz)	EK80333 Sonde (m)	EK8033 Fq (kHz)	EK80120 Sonde (m)	EK80120 Fq (kHz)	ME70 Ha Sonde (m)	ME70 Ha Fq (kHz)	Sonde ref. (m)	Desc. sonde ref.	GILL Temp. air (deg C)	GILL Temp. eau (deg C)	GILL Humidite (%)	GILL Pression (mbar)	GILL Flux de chaleur (W/m2)	GILL Point de rosee (deg C)	GILL Vit. vent app. (nd)	GILL Dir. vent app. (deg)	GILL Vit. vent vrai (nd)	GILL Dir. vent vrai (deg)	METBA Temp. air (deg C)	METBA Temp. eau (deg C)	METBA Humidite (%)	METBA Pression (mbar)	METBA Flux de chaleur (W/m2)	METBA Point de rosee (deg C)	METBA Vit. vent app. (nd)	METBA Dir. vent app. (deg)	METBA Vit. vent vrai (nd)	METBA Dir. vent vrai (deg)	MARPORT Immersion (m)	MARPORT Temp. immersion (deg C)	MARPORT Altitude corde d'eau % fond (m)	MARPORT Vit. transversale (m/s)	MARPORT Vit. longitudinale (m/s)	MARPORT Dist. bourrelet % fond (m)	MARPORT Ouv. verticale (m)	MARPORT Ouv. horizontale (m)	MARPORT Dist. des panneaux (m)	PHINS B Date (j)	PHINS B Cap (deg)	PHINS B Roulis (deg)	PHINS B Tangage (deg)	PHINS B Pilonnement (deg)	PHINS B Flag de validite	PHINS T Date (j)	PHINS T Cap (deg)	PHINS T Roulis (deg)	PHINS T Tangage (deg)	PHINS T Pilonnement	PHINS T Flag de validite	PROPULSION SIR. Vitesse prop etrave (t/min)	PROPULSION SIR. Vitesse prop arriere (t/min)	PROPULSION SIR. Vitesse helice (t/min)	PROPULSION SIR. angle (deg)	CELE Celerite (m/s)	SBE3S Temp eau peak av (deg C)	SBE3S Temp eau peak av (deg C)	SBE21 Temp (deg C)	SBE21 Conductivite (mS/cm)	SBE21 Salinite (PSU)	SBE21 Celerite surf (m/s)	SBE21 Densite (kg/m3)	SBE21 Donnees brutes	THSAL Debit (l/min)	CUFES Debit (l/min)	CINNA Lat.	CINNA Long.	CINNA Altitude (m)	CINNA Vit. fond (nd)	CINNA Route fond (deg)	CINNA Vit. surf (nd)	CINNA Route surf (deg)	CINNA Vitesse derive (nd)	CINNA Cap derive (deg)	CINNA Cap (deg)	CINNA Roulis (deg)	CINNA Tangage (deg)	CINNA Pilonnement (m)	CINNA Sonde vert. (m)	CINNA Tirant d'eau	FERRYBOX Qualite	FERRYBOX Date (j)	FERRYBOX SBE45 temp. mer (deg C)	FERRYBOX SBE45 cond. (S/m)	FERRYBOX SBE45 sal. (PSU)	FERRYBOX SBE45 cel. (m/s)	FERRYBOX Optode oxygene (uM/l)	FERRYBOX Optode saturation (%)	FERRYBOX Optode temp. mer (deg C)	FERRYBOX Seapoint turbidite (FTU)	FERRYBOX AOA algue verte (ug/l)	FERRYBOX AOA algue bleue (ug/l)	FERRYBOX AOA diatomees (ug/l)	FERRYBOX AOA cryptophytes (ug/l)	FERRYBOX AOA yellow sub (ug/l)	FERRYBOX AOA temp.capteur (deg C	FERRYBOX AOA algue total (ug/l)	FERRYBOX FB ph valeur	FERRYBOX FB ph temp. mer (deg C)	FERRYBOX FB temp. air (deg C)	FERRYBOX Pression (mBar)	FERRYBOX Debit entree (l/min)	FERRYBOX Debit principal (l/min)	FERRYBOX Debit PCO2 (l/min)	FERRYBOX Debit bypass 2 (l/min)	FERRYBOX Debit AOA (l/min)	FERRYBOX Demi plein	FERRYBOX Plein	ENG1 Lat.	ENG1 Long.	ENG1 X (m)	ENG1 Y (m)	ENG1 Sonde (m)	ENG1 Mode	ENG1 Systeme	ENG1 Altitude	ENG1 Vit. fond (nd)	ENG1 Route fond (deg)	ENG1 Vit. surf (nd)	ENG1 Route surf (deg)	ENG1 Bearing (deg)	ENG1 Hordist (m)	ENG1 Truedist (m)	ENG1 Cap (deg)	ENG2 Lat.	ENG2 Long.	ENG2 X (m)	ENG2 Y (m)	ENG2 Sonde (m)	ENG2 Mode	ENG2 Systeme	ENG2 Altitude	ENG2 Vit. fond (nd)	ENG2 Route fond (deg)	ENG2 Vit. surf (nd)	ENG2 Route surf (deg)	ENG2 Bearing (deg)	ENG2 Hordist (m)	ENG2 Truedist (m)	ENG2 Cap (deg)	
2023-03-05T23:59:00	N 14° 35,95254'	W 24° 3,98719'			ACQAUTO									0	710	0	0	820	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3879,29	TL_EK80_18K	-300	-300	-1	-1	-1	-300	12,1	201	-1	-1	22,1	24,7	82,6	1012	1	18,999	8,3	219	18	351	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	160,03	-0,34	0,59	0,11	-1	0	160,13	-0,37	0,61	0,11	-1	-0,1	-0,6	110,8	-0,1	0	-300	24,668	25,025	5,3967	35,6456	1534,3	23,93	A854D2B328C007	50,19	48,76	14,5992	-24,0665	21,945	11,33	154,09	10,41	157,67	0,89	112,69	159,87	-100	-100	-200	3879,3	-1	0	44990,9992	25,052	5,401	35,663	1535,25	251,609	97,631	25,046	1,355	0,06	0	0	0	0	0	0,06	8	25,297	22,825	133,5	19,794	4,621	5,188	3,898	0,758	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-05T23:59:30	N 14° 35,86692'	W 24° 3,94837'			ACQAUTO									0	720	0	0	830	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3879,29	TL_EK80_18K	-300	-300	-1	-1	-1	-300	11,8	210	-1	-1	22	24,7	82,3	1012	0	18,843	7,3	212	15,7	338	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	160,69	1,77	-0,65	-0,09	-1	0	160,79	1,74	-0,64	-0,08	-1	-0,1	-0,6	113,5	1,2	0	-300	24,664	25,02	5,3962	35,6461	1534,3	23,9316	A84BD2AE28BF32	50,69	48,76	14,5978	-24,0658	21,8	11,22	156,24	10,7	160,3	1,21	97,91	160,84	-100	-100	-200	3879,3	-1	0	44990,9996	25,048	5,4	35,662	1535,24	251,621	97,63	25,043	1,355	0,11	0	0	0	0	0	0,11	8	0	22,83	133,5	19,86	4,515	5,078	3,83	0,745	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:00:00	N 14° 35,78177'	W 24° 3,90649'			ACQAUTO									0	690	0	0	860	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	TL_EK80_18K	-300	-300	-1	-1	-1	-300	11	214	-1	-1	22	24,7	82,8	1012	0	18,94	4,4	233	12,4	352	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	158,56	2,08	0,02	0,14	-1	0	158,66	2,05	0,04	0,12	-1	-0,1	-0,6	111,8	-1,1	0	-300	24,655	25,017	5,3959	35,6458	1534,3	23,9341	A847D2AB28BD55	50,44	21,33	14,5964	-24,0651	21,914	11,29	154,26	10,7	160,15	1,18	100,41	158,54	-100	-100	-200	3879,3	-1	0	44990,9999	25,045	5,4	35,662	1535,23	252,42	97,936	25,041	1,365	0,11	0	0	0	0	0	0,11	8	25,286	22,825	134,25	19,608	4,498	5,074	3,908	0,741	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:00:30	N 14° 35,69604'	W 24° 3,86522'			ACQAUTO									0	720	0	0	820	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	TL_EK80_18K	-300	-300	-1	-1	-1	-300	13	209	-1	-1	22,1	24,6	82,7	1012,1	0	19,018	12	204	23,7	358	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	161,43	-0,91	0,3	-0,08	-1	0	161,53	-0,93	0,32	-0,09	-1	-0,1	-0,6	113,3	1,2	0	-300	24,65	25,01	5,3949	35,6448	1534,2	23,9348	A83BD2A228BC51	50,19	56,38	14,5949	-24,0644	21,603	11,33	155,69	10,4	160,58	1,17	97,85	161,68	-100	-100	-200	-1	-1	0	44991,0003	25,039	5,399	35,661	1535,22	251,784	97,681	25,036	1,36	0,11	0	0	0	0	0	0,11	8	25,286	22,83	130,75	19,8	4,387	4,979	3,792	0,731	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:01:00	N 14° 35,61029'	W 24° 3,82721'			ACQAUTO									0	700	0	0	800	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	TL_EK80_18K	-300	-300	-1	-1	-1	-300	12,1	205	-1	-1	21,8	24,6	81,8	1012,1	0	18,55	2,3	219	14,3	354	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	161,19	-0,7	-0,79	0,11	-1	0	161,29	-0,73	-0,78	0,16	-1	-0,1	-0,6	112,6	0,7	0	-300	24,636	25,004	5,3944	35,6454	1534,2	23,9395	A832D29D28B974	50,19	24,38	14,5935	-24,0638	21,833	11,21	156,49	10,4	161,92	1,57	101,52	161,37	-100	-100	-200	-1	-1	0	44991,0006	25,034	5,399	35,661	1535,21	251,382	97,514	25,03	1,365	0,07	0	0	0	0	0	0,07	8	25,274	22,805	129,75	19,667	4,455	5,023	3,814	0,706	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:01:30	N 14° 35,5246'	W 24° 3,78741'			ACQAUTO									0	720	0	0	820	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3879,21	TL_EK80_18K	-300	-300	-1	-1	-1	-300	10,5	201	-1	-1	22,1	24,6	82,2	1012	0	18,921	4	227	14	348	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	159,95	-0,37	0,06	-0,19	-1	0	160,06	-0,39	0,08	-0,22	-1	-0,1	-0,6	111,9	0,6	0	-300	24,637	24,996	5,3934	35,6446	1534,2	23,9385	A824D29328B9B3	50,19	3,05	14,5921	-24,0631	21,337	11,26	155,74	10,7	159,12	1,08	97,32	160,19	-100	-100	-200	3879,2	-1	0	44991,001	25,028	5,398	35,66	1535,1899	251,46	97,539	25,027	1,36	0,09	0	0	0	0	0	0,09	8	25,274	22,78	131,75	19,794	4,579	5,112	3,87	0,733	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:02:00	N 14° 35,43865'	W 24° 3,74642'			ACQAUTO									0	710	0	0	830	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3879,21	TL_EK80_18K	-300	-300	-1	-1	-1	-300	8,2	209	-1	-1	22,2	24,7	83	1012,1	0	19,174	1,7	281	11	345	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	160,34	0,47	0,07	0,02	-1	0	160,45	0,45	0,09	0,05	-1	-0,1	-0,6	110,3	0,5	0	-300	24,627	24,991	5,3928	35,6434	1534,2	23,9407	A81DD28D28B79A	50,19	42,67	14,5906	-24,0624	21,587	11,36	155,17	10	161,22	1,09	89,86	160,65	-100	-100	-200	3879,2	-1	0	44991,0013	25,019	5,397	35,659	1535,17	252,527	97,945	25,023	1,38	0,09	0	0	0	0	0	0,09	8	25,274	22,775	136,25	19,86	4,498	5,112	3,906	0,745	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:02:30	N 14° 35,35189'	W 24° 3,70625'			ACQAUTO									0	720	0	0	840	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3901,0701	TL_EK80_18K	-300	-300	-1	-1	-1	-300	6,8	207	-1	-1	22,4	24,6	83,5	1012,1	0	19,466	4,6	237	14,2	351	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	160,3	1,76	0,11	0	-1	0	160,4	1,73	0,12	0,03	-1	-0,1	-0,7	113,8	0,6	0	-300	24,623	24,983	5,392	35,6442	1534,2	23,9424	A80FD28528B6D3	50,19	42,67	14,5892	-24,0618	21,763	11,42	155,78	10,51	163,28	1,25	93,21	160,55	-100	-100	-200	3901,1001	-1	0	44991,0017	25,015	5,396	35,659	1535,16	255,198	98,963	25,013	1,365	0,05	0	0	0	0	0	0,05	8	0	22,775	137	19,86	4,54	5,15	3,888	0,758	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:03:30	N 14° 35,18037'	W 24° 3,62341'			ACQAUTO									0	710	0	0	820	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3902,3201	TL_EK80_18K	-300	-300	-1	-1	-1	-300	11	209	-1	-1	22,1	24,7	83,1	1012	0	19,096	4,8	234	14,5	352	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	159,35	2,34	-0,63	-0,11	-1	0	159,46	2,32	-0,62	-0,09	-1	-0,1	-0,7	112,3	-0,9	0	-300	24,61	24,97	5,3905	35,6433	1534,1	23,9457	A7FBD27728B411	50,2	51,81	14,5863	-24,0604	21,633	11,35	154,71	11	160,52	1,08	87,04	159,48	-100	-100	-200	3902,3	-1	0	44991,0024	25,001	5,395	35,659	1535,13	253,876	98,431	25,002	1,365	0,08	0	0	0	0	0	0,08	8	25,263	22,75	133,5	19,794	4,536	5,168	3,928	0,745	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
2023-03-06T00:04:00	N 14° 35,0942'	W 24° 3,58345'			ACQAUTO									0	720	0	0	840	0	0	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3902,3201	TL_EK80_18K	-300	-300	-1	-1	-1	-300	11,2	212	-1	-1	22,6	24,6	82,8	1012,1	0	19,526	2,5	94	11,6	327	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	161,65	-0,78	0,11	-0,5	-1	0	161,75	-0,81	0,12	-0,55	-1	-0,1	-0,6	114,4	0,4	0	-300	24,606	24,967	5,39	35,6419	1534,1	23,9459	A7F6D27228B336	49,95	36,57	14,5849	-24,0597	21,048	11,31	156,21	10,32	165,56	1,26	91,26	161,67	-100	-100	-200	3902,3	-1	0	44991,0027	24,996	5,394	35,659	1535,11	253,696	98,347	24,994	1,375	0,08	0	0	0	0	0	0,08	8	25,251	22,78	126	19,608	4,417	4,921	3,77	0,745	1	1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	-100	-200	-1000000000	-1000000000	-100	-1	unknow	-10000000	-1	-1	-1	-1	-1	-100	-100	-1	
