Date	Heure	Latitude	Longitude	Nom Phase	Type De Phase	Type	Nom Appareil	Code Appareil	Nom Action	Code Action	Identificateur Operation	Observation	Num Station	Strate	Niveau de priorite	FUNES Tension Tribord (daN)	FUNES Vit. filage Tribord (m/s)	FUNES L. filee Tribord (m)	FUNES Tension babord (daN)	FUNES Vit. filage Babord (m/s)	FUNES L. filee Babord (m)	HYDRO Tension treuil (daN)	HYDRO Tension max. (daN)	HYDRO Vitesse de filage (m/s)	HYDRO Vitesse de filage prog. (m/s)	HYDRO Angle longitudinal (deg)	HYDRO Angle transversal (deg)	HYDRO Tension roller (daN)	HYDRO Charge portique (daN)	HYDRO L. filee (m)	EK8070 Sonde (m)	EK8070 Fq (kHz)	EK8038 Sonde (m)	EK8038 Fq (kHz)	EK8018 Sonde (m)	EK8018 Fq (kHz)	EK80200 Sonde (m)	EK80200 Fq (kHz)	EK80333 Sonde (m)	EK8033 Fq (kHz)	EK80120 Sonde (m)	EK80120 Fq (kHz)	ME70 Ha Sonde (m)	ME70 Ha Fq (kHz)	Sonde ref. (m)	Desc. sonde ref.	GILL Temp. air (deg C)	GILL Temp. eau (deg C)	GILL Humidite (%)	GILL Pression (mbar)	GILL Flux de chaleur (W/m2)	GILL Point de rosee (deg C)	GILL Vit. vent app. (nd)	GILL Dir. vent app. (deg)	GILL Vit. vent vrai (nd)	GILL Dir. vent vrai (deg)	METBA Temp. air (deg C)	METBA Temp. eau (deg C)	METBA Humidite (%)	METBA Pression (mbar)	METBA Flux de chaleur (W/m2)	METBA Point de rosee (deg C)	METBA Vit. vent app. (nd)	METBA Dir. vent app. (deg)	METBA Vit. vent vrai (nd)	METBA Dir. vent vrai (deg)	MARPORT Immersion (m)	MARPORT Temp. immersion (deg C)	MARPORT Altitude corde d'eau % fond (m)	MARPORT Vit. transversale (m/s)	MARPORT Vit. longitudinale (m/s)	MARPORT Dist. bourrelet % fond (m)	MARPORT Ouv. verticale (m)	MARPORT Ouv. horizontale (m)	MARPORT Dist. des panneaux (m)	PHINS B Date (j)	PHINS B Cap (deg)	PHINS B Roulis (deg)	PHINS B Tangage (deg)	PHINS B Pilonnement (deg)	PHINS B Flag de validite	PHINS T Date (j)	PHINS T Cap (deg)	PHINS T Roulis (deg)	PHINS T Tangage (deg)	PHINS T Pilonnement	PHINS T Flag de validite	PROPULSION SIR. Vitesse prop etrave (t/min)	PROPULSION SIR. Vitesse prop arriere (t/min)	PROPULSION SIR. Vitesse helice (t/min)	PROPULSION SIR. angle (deg)	CELE Celerite (m/s)	SBE3S Temp eau peak av (deg C)	SBE3S Temp eau peak av (deg C)	SBE21 Temp (deg C)	SBE21 Conductivite (mS/cm)	SBE21 Salinite (PSU)	SBE21 Celerite surf (m/s)	SBE21 Densite (kg/m3)	SBE21 Donnees brutes	THSAL Debit (l/min)	CUFES Debit (l/min)	CINNA Lat.	CINNA Long.	CINNA Altitude (m)	CINNA Vit. fond (nd)	CINNA Route fond (deg)	CINNA Vit. surf (nd)	CINNA Route surf (deg)	CINNA Vitesse derive (nd)	CINNA Cap derive (deg)	CINNA Cap (deg)	CINNA Roulis (deg)	CINNA Tangage (deg)	CINNA Pilonnement (m)	CINNA Sonde vert. (m)	CINNA Tirant d'eau	GRAVI Grav relative (mgal)	GRAVI AccX (m/s2)	GRAVI AccY (m/s2)	GRAVI Echelle	GRAVI Ordre filtre	GRAVI Delai filtre (s)	GRAVI GPS on?	GRAVI Status	GRAVI Date (j)	FERRYBOX Qualite	FERRYBOX Date (j)	FERRYBOX SBE45 temp. mer (deg C)	FERRYBOX SBE45 cond. (S/m)	FERRYBOX SBE45 sal. (PSU)	FERRYBOX SBE45 cel. (m/s)	FERRYBOX Optode oxygene (uM/l)	FERRYBOX Optode saturation (%)	FERRYBOX Optode temp. mer (deg C)	FERRYBOX Seapoint turbidite (FTU)	FERRYBOX AOA algue verte (ug/l)	FERRYBOX AOA algue bleue (ug/l)	FERRYBOX AOA diatomees (ug/l)	FERRYBOX AOA cryptophytes (ug/l)	FERRYBOX AOA yellow sub (ug/l)	FERRYBOX AOA temp.capteur (deg C	FERRYBOX AOA algue total (ug/l)	FERRYBOX FB ph valeur	FERRYBOX FB ph temp. mer (deg C)	FERRYBOX FB temp. air (deg C)	FERRYBOX Pression (mBar)	FERRYBOX Debit entree (l/min)	FERRYBOX Debit principal (l/min)	FERRYBOX Debit PCO2 (l/min)	FERRYBOX Debit bypass 2 (l/min)	FERRYBOX Debit AOA (l/min)	FERRYBOX Demi plein	FERRYBOX Plein	
03/03/2019	00:00:00	11,5202799	-23,0005181			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5082,0898	TL_EK80_18K	-300	-300	-1	-1	-1	-300	23,4	274	-1	-1	23,1	24,1	59,5	1015,6	0	14,784	19,6	280	21,9	50	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	158,16	0,07	-0,55	0,49	-1	0	158,13	0,04	-0,56	0,64	-1	-2,8	-0,5	123,1	-0,1	1533,6801	-300	24,229	24,562	5,3889	35,9559	1533,6	24,297	9808D49C143E11	44,07	-1	11,5203	-23,0005	16,317	11,27	161,42	11,8	157,49	0,28	270,91	157,98	-100	-100	-200	5082,1001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	0	43526,9999	24,59	5,397	35,992	1534,49	228,686	87,946	24,563	0,505	1,266	0	1,103	0	0	0	2,369	10	-142,781	23	133,5	17,639	4,783	2,822	2,781	0,821	1	1	
03/03/2019	00:00:30	11,51886	-22,9999976			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	0	0	0	0	5081,3901	0	0	0	0	0	0	0	-1	-1	5081,3901	TL_EK80_18K	-300	-300	-1	-1	-1	-300	20	268	-1	-1	23,1	24,1	61,1	1015,3	0	15,196	17,1	266	20,4	35	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	158,25	-2,1	-2,66	0,68	-1	0	158,22	-2,12	-2,67	0,61	-1	-2,8	-0,5	122,3	0,4	1533,64	-300	24,231	24,561	5,3889	35,9564	1533,6	24,2967	9807D49C143E4A	44,07	-1	11,5189	-23	15,526	10,77	160,57	10,06	164,9	0,86	255,8	158,62	-100	-100	-200	5081,6001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,0003	24,592	5,397	35,992	1534,49	229,277	88,185	24,571	0,5	1,266	0	1,103	0	0	0	2,369	10	-142,965	23,005	-7,5	-0,02	0,008	-0,002	-0,006	-0,007	0	0	
03/03/2019	00:01:00	11,5174084	-22,9995365			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5082,1201	TL_EK80_18K	-300	-300	-1	-1	-1	-300	20	271	-1	-1	23,1	24,1	60,3	1015,4	0	14,991	15,3	277	17,7	39	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	155,36	3,82	0,31	0,25	-1	0	155,33	3,8	0,3	0,32	-1	-2,9	-0,5	129,9	-2,8	1533,65	-300	24,229	24,564	5,389	35,9551	1533,6	24,2962	980BD49D143E1A	44,07	-1	11,5174	-22,9995	16,148	10,82	162,35	11,81	157,54	0,19	320,25	155,6	-100	-100	-200	5082,1001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,0006	24,581	5,395	35,99	1534,46	229,061	88,112	24,577	0,515	1,266	0	1,103	0	0	0	2,369	10	-143,012	23	-0,25	-0,02	0,008	-0,002	-0,006	-0,007	0	0	
03/03/2019	00:01:30	11,515976	-22,9989926			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5082,1401	TL_EK80_18K	-300	-300	-1	-1	-1	-300	19,3	279	-1	-1	23,1	24,2	61,5	1015,4	0	15,297	15,1	279	17,8	36	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	157,91	1,42	1,26	-0,33	-1	0	157,88	1,39	1,25	-0,22	-1	-2,8	-0,5	127,8	-0,2	1533,64	-300	24,227	24,562	5,389	35,9566	1533,5	24,2981	9808D49D143DE4	43,82	-1	11,516	-22,999	15,382	11,05	159,58	11,4	157,66	0,05	333,29	157,66	-100	-100	-200	5082,1001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,001	24,543	0,303	1,592	1497,25	227,983	87,722	24,592	0,29	1,266	0	1,103	0	0	0	2,369	11	-173,969	22,975	0,25	-0,02	0,008	-0,002	-0,006	-0,007	1	0	
03/03/2019	00:02:00	11,5145429	-22,9984962			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	0	0	0	0	5082,0298	0	0	0	0	0	0	0	-1	-1	5082,0298	TL_EK80_18K	-300	-300	-1	-1	-1	-300	22,4	274	-1	-1	23,1	24,1	62,1	1015,4	0	15,448	17,5	278	19	44	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	158,2	1,41	-0,58	0,53	-1	0	158,17	1,38	-0,59	0,45	-1	-2,9	-0,5	125	-1,5	1533,65	-300	24,229	24,563	5,389	35,9556	1533,5	24,2968	980AD49D143E10	44,32	-1	11,5145	-22,9985	15,691	10,89	161,1	11,31	160,36	0,51	315,18	157,83	-100	-100	-200	5081,3999	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,0013	23,539	0,708	4,011	1497,1899	233,916	88,396	23,628	0,15	1,266	0	1,103	0	0	0	2,369	10	-173,898	22,995	133,5	-0,02	3,889	2,078	1,693	-0,007	1	1	
03/03/2019	00:02:30	11,5130705	-22,997967			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5081,25	TL_EK80_18K	-300	-300	-1	-1	-1	-300	21,3	270	-1	-1	23,1	24,2	60	1015,3	0	14,913	17,1	274	21	37	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	159	1,08	-0,97	-1,21	-1	0	158,97	1,06	-0,98	-1,24	-1	-2,8	-0,5	124,7	0,2	1533,66	-300	24,223	24,561	5,3888	35,9556	1533,5	24,2987	9807D49B143D6D	44,57	-1	11,5131	-22,998	14,895	11,21	160,83	12,11	157,13	0,54	304,68	159,02	-100	-100	-200	5081,2998	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,0017	25,176	0,435	2,3	1499,72	244,405	93,516	24,291	6,11	1,266	0	1,103	0	0	0	2,369	10	-173,867	22,975	133	-0,02	3,587	2,096	1,999	0,515	1	1	
03/03/2019	00:03:00	11,5116222	-22,9974843			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5082,3799	TL_EK80_18K	-300	-300	-1	-1	-1	-300	19	280	-1	-1	23,1	24,2	59,9	1015,6	0	14,887	15,7	287	16,7	45	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	159,22	-0,35	-0,27	0,23	-1	0	159,19	-0,37	-0,28	0,24	-1	-2,8	-0,5	124,7	0,8	1533,62	-300	24,222	24,562	5,3889	35,9559	1533,5	24,2989	9808D49C143D65	44,07	-1	11,5116	-22,9975	15,645	11,05	161,53	11,1	159,77	0,6	292,22	158,74	-100	-100	-200	5082,3999	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,002	26,311	0,682	3,629	1504,12	244,204	95,865	25,678	4,17	1,266	0	1,103	0	0	0	2,369	-2	0	22,965	134	-0,02	4,251	2,535	2,418	-0,007	1	1	
03/03/2019	00:03:30	11,5101891	-22,9969816			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	0	0	0	0	5081,4199	0	0	0	0	0	0	0	-1	-1	5081,4199	TL_EK80_18K	-300	-300	-1	-1	-1	-300	19,3	269	-1	-1	23,1	24,2	62	1015,4	0	15,423	16,3	284	16,7	46	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	159,09	-0,06	-1	-0,27	-1	0	159,07	-0,09	-1,01	-0,28	-1	-2,8	-0,5	120,9	1,7	1533,63	-300	24,214	24,556	5,3881	35,9545	1533,5	24,3003	97FFD494143C97	43,82	-1	11,5102	-22,997	14,975	10,84	161,15	12,4	159,92	0,7	278,74	159,46	-100	-100	-200	5081,6001	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,0024	26,262	0,71	3,789	1504,17	242,361	95,49	25,878	5,39	1,266	0	1,103	0	0	0	2,369	-2	0	22,97	128,75	-0,02	4,208	2,463	2,4	0,693	1	1	
03/03/2019	00:04:00	11,5087379	-22,996484			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5082,3301	TL_EK80_18K	-300	-300	-1	-1	-1	-300	17,6	281	-1	-1	23,1	24,2	61,2	1015,5	0	15,221	13,6	285	15,7	41	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	157,69	1,4	1,14	-0,42	-1	0	157,66	1,37	1,13	-0,42	-1	-2,8	-0,5	127,7	-1,8	1533,62	-300	24,212	24,554	5,3875	35,9522	1533,5	24,2994	97FCD48F143C51	43,82	-1	11,5087	-22,9965	15,044	11	161,36	10,54	152,42	0,63	214,52	157,32	-100	-100	-200	5082,2998	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,0027	26,249	0,702	3,75	1504,09	240,956	95,168	26,012	3,705	1,266	0	1,103	0	0	0	2,369	-2	-173,695	22,97	134	-0,02	4,17	2,517	2,437	0,642	1	1	
03/03/2019	00:04:30	11,5073107	-22,9959608			ACQAUTO									0	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1000	-1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5081,21	TL_EK80_18K	-300	-300	-1	-1	-1	-300	21,3	279	-1	-1	23,1	24,2	64	1015,4	0	15,919	16,9	286	16,9	46	-1	-300	-10000000	-1	-1	-10000000	-1	-1	-1	0	158,22	2,99	-0,21	0,87	-1	0	158,19	2,97	-0,21	0,89	-1	-2,8	-0,5	123,2	1,2	1533,62	-300	24,212	24,546	5,3865	35,9509	1533,5	24,2983	97F0D485143C57	43,57	-1	11,5073	-22,996	15,768	10,94	160,26	12,06	163,97	0,93	232,34	158,26	-100	-100	-200	5081,2002	-1	-1000000	-200	-200	-1	65535	65535	65535	65535	0	1	43527,0031	26,235	0,702	3,748	1504,05	239,653	94,721	26,051	2,645	1,266	0	1,103	0	0	0	2,369	-2	-173,648	22,97	131,25	-0,02	4,242	2,535	2,475	0,681	1	1	
