09/04/2017 21:33:07 08°50.75848 S  034°43.69047 W 1143.4
Time,Conductivity,Temperature,Pressure,Chlorophyll a,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2017-04-09 21:33:03.000,59.6523431,28.5724791,10.3277820,0.1033962,0.1952820,0.1936896,36.9638193,1544.6554347,55842.0004506,23.6835104
2017-04-09 21:33:18.000,59.6005463,28.5657184,10.5368603,0.1040973,0.4043603,0.4010629,36.9327536,1544.6116664,55800.2574381,23.6632891
2017-04-09 21:33:29.000,59.6559173,28.5688228,10.3931865,0.0827131,0.2606865,0.2585607,36.9691548,1544.6542766,55848.9974870,23.6890224
2017-04-09 21:33:39.000,59.6660437,28.5673130,10.3375296,0.0934637,0.2050296,0.2033577,36.9774426,1544.6588140,55859.9857097,23.6955223
2017-04-09 21:33:50.000,59.6516174,28.5655486,10.4363525,0.1522410,0.3038525,0.3013746,36.9686846,1544.6474518,55848.2416462,23.6899445
2017-04-09 21:34:00.000,0.0026395,28.5368304,10.2270611,0.3871752,0.0945611,0.0937900,0.0131565,1505.7087940,2.4724519,-3.9083029
2017-04-09 21:35:04.000,59.5461796,28.5696959,10.5210198,0.1024614,0.3885198,0.3853516,36.8915923,1544.5766219,55745.3922936,23.6309340
2017-04-09 21:35:15.000,59.5533830,28.5780400,10.8207592,0.0877378,0.6882592,0.6826467,36.8900471,1544.5980315,55743.8189856,23.6282708
2017-04-09 21:35:26.000,59.6333570,28.5817819,10.6656718,0.1122771,0.5331718,0.5288239,36.9431663,1544.6594233,55814.9431965,23.6663166
2017-04-09 21:35:37.000,59.6284999,28.5759963,10.7926890,0.1118097,0.6601890,0.6548054,36.9442369,1544.6502245,55816.1701849,23.6695935
2017-04-09 21:35:48.000,59.6842894,28.5775609,11.8223002,0.1011176,1.6898002,1.6760205,36.9817655,1544.7104718,55866.8299716,23.7016992
2017-04-09 21:35:59.000,59.7076598,28.5841109,13.8450251,0.0946322,3.7125251,3.6822508,36.9923952,1544.7698645,55882.1616334,23.7161498
2017-04-09 21:36:10.000,59.7118137,28.5854999,14.7682536,0.0821289,4.6357536,4.5979507,36.9939351,1544.7900361,55884.6618030,23.7207879
2017-04-09 21:36:21.000,59.7134172,28.5856939,14.7991597,0.0960344,4.6666597,4.6286048,36.9948969,1544.7919878,55885.9685965,23.7215786
2017-04-09 21:36:32.000,59.7163871,28.5866159,13.7622214,0.0772210,3.6297214,3.6001224,36.9965763,1544.7782684,55887.8270334,23.7181056
2017-04-09 21:36:43.000,59.7083519,28.5848691,12.5534576,0.0869199,2.4209576,2.4012156,36.9926861,1544.7500389,55882.0519635,23.7105994
2017-04-09 21:36:54.000,59.7116833,28.5852936,11.7137445,0.0820704,1.5812445,1.5683500,36.9949463,1544.7391832,55884.7457890,23.7085714
2017-04-09 21:37:05.000,59.5890282,28.5829524,10.9908805,0.0932884,0.8583805,0.8513807,36.9111214,1544.6336785,55772.2857783,23.6432115
2017-04-09 21:37:16.000,59.7132805,28.5903221,10.9397556,0.0867446,0.8072556,0.8006727,36.9923781,1544.7342661,55881.2175724,23.7016565
2017-04-09 21:37:27.000,59.7113339,28.5889936,11.2088508,0.1009423,1.0763508,1.0675735,36.9919691,1544.7355090,55880.7227681,23.7029413
2017-04-09 21:37:38.000,59.7099514,28.5873195,11.6892393,0.0884974,1.5567393,1.5440447,36.9921597,1544.7401993,55881.1011130,23.7056949
2017-04-09 21:37:49.000,59.7155972,28.5883385,12.6629844,0.1000659,2.5304844,2.5098492,36.9950173,1544.7618130,55885.3669013,23.7116635
2017-04-09 21:38:00.000,59.7158360,28.5882233,13.2021714,0.0657694,3.0696714,3.0446393,36.9951083,1544.7707468,55885.7055437,23.7140733
2017-04-09 21:38:11.000,59.7144905,28.5883264,13.6946139,0.0900749,3.5621139,3.5330661,36.9939340,1544.7780307,55884.3433615,23.7152587
2017-04-09 21:38:22.000,59.7179117,28.5890361,14.9866076,0.0941648,4.8541076,4.8145241,36.9953773,1544.8028514,55886.8361225,23.7216256
2017-04-09 21:38:33.000,59.7195000,28.5888359,16.9798253,0.0929962,6.8473253,6.7914878,36.9960314,1544.8366978,55888.5225258,23.7306969
2017-04-09 21:38:44.000,59.7137155,28.5808540,19.2929230,0.0832974,9.1604230,9.0857230,36.9974992,1544.8600275,55891.0833446,23.7443420
2017-04-09 21:38:55.000,59.7247463,28.5905041,20.8738797,0.0764030,10.7413797,10.6537876,36.9972028,1544.9071439,55891.7657135,23.7476509
2017-04-09 21:39:06.000,59.7217010,28.5878351,21.9394461,0.1016434,11.8069461,11.7106647,36.9968257,1544.9189538,55891.5822139,23.7528081
2017-04-09 21:39:17.000,59.7089054,28.5755415,22.7461456,0.1432433,12.6136456,12.5107859,36.9972142,1544.9064702,55891.8894432,23.7606462
2017-04-09 21:39:28.000,59.7103527,28.5729036,24.0186260,0.1281108,13.8861260,13.7728896,36.9998952,1544.9250513,55895.8803764,23.7689765
2017-04-09 21:39:39.000,59.6688979,28.5282873,27.0609218,0.1095310,16.9284218,16.7903766,37.0047614,1544.8852227,55901.6684076,23.8005032
2017-04-09 21:39:50.000,59.8339816,28.5578735,31.8281085,0.1430680,21.6956085,21.5186886,37.0958514,1545.1253068,56026.6678849,23.8795102
2017-04-09 21:40:01.000,60.1164519,28.6234109,36.9048157,0.2201330,26.7723157,26.5539970,37.2407922,1545.5045756,56225.2619341,23.9883127
2017-04-09 21:40:12.000,60.2521850,28.6662227,40.4691376,0.2139982,30.3366376,30.0892531,37.3010921,1545.7201022,56309.1453462,24.0345542
2017-04-09 21:40:23.000,60.2738007,28.6674925,42.9955082,0.2292476,32.8630082,32.5950221,37.3144442,1545.7794481,56328.0697670,24.0549498
2017-04-09 21:40:34.000,60.2548471,28.6255597,44.4667293,0.2062274,34.3342293,34.0542460,37.3337130,1545.7344348,56352.5359702,24.0897506
2017-04-09 21:40:45.000,60.2479809,28.6084263,44.9581476,0.2564160,34.8256476,34.5416570,37.3422426,1545.7148552,56363.3647299,24.1039928
2017-04-09 21:40:56.000,60.2549501,28.6182516,45.1134923,0.2226453,34.9809923,34.6957348,37.3393397,1545.7355439,56359.9897648,24.0991864
2017-04-09 21:41:07.000,60.2500795,28.6108111,45.5973035,0.2419846,35.4648035,35.1756008,37.3416368,1545.7301137,56362.9262147,24.1054665
2017-04-09 21:41:18.000,60.2376746,28.5866766,46.6960321,0.1992162,36.5635321,36.2653696,37.3516164,1545.7072109,56375.6324521,24.1257291
