10/04/2017 21:43:59 09°12.33534 S  034°45.79749 W 1709.5
Time,Conductivity,Temperature,Pressure,Chlorophyll a,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2017-04-10 21:43:57.000,60.7410460,29.0086629,10.2747327,0.0155807,0.1422327,0.1410729,37.3827309,1546.0283440,56421.1357403,23.8521089
2017-04-10 21:44:12.000,0.0088086,29.0435072,10.1894234,0.1567399,0.0569234,0.0564593,0.0147452,1506.9225607,8.1770643,-4.0548684
2017-04-10 21:49:05.000,60.4301917,28.7723420,17.6038787,0.1589601,7.4713787,7.4104523,37.3492457,1545.6129395,56368.7273236,23.9376531
2017-04-10 21:49:16.000,60.3515048,28.6590727,21.3308568,0.1681915,11.1983568,11.1070382,37.3822030,1545.4676876,56409.1647664,24.0162920
2017-04-10 21:49:27.000,60.3568593,28.6537701,24.1607846,0.1644522,14.0282846,13.9138889,37.3892554,1545.5114110,56419.5104094,24.0354486
2017-04-10 21:49:38.000,60.3403059,28.6454316,26.9113988,0.1541691,16.7788988,16.6420729,37.3833780,1545.5336608,56412.4353248,24.0455553
2017-04-10 21:49:49.000,60.3036879,28.6102710,30.3882027,0.1470995,20.2557027,20.0905247,37.3843599,1545.5177171,56413.6203666,24.0728899
2017-04-10 21:50:00.000,60.2304427,28.5676162,35.3453847,0.2021959,25.2128847,25.0072826,37.3650960,1545.4891658,56388.0763335,24.0938064
2017-04-10 21:50:11.000,60.1975643,28.5342370,37.9490472,0.1836746,27.8165472,27.5897133,37.3675487,1545.4637070,56390.9534305,24.1179083
2017-04-10 21:50:22.000,60.1966511,28.5282509,40.7020569,0.2034813,30.5695569,30.3202731,37.3707761,1545.5005800,56396.1383692,24.1340824
2017-04-10 21:50:33.000,60.1820991,28.5180919,44.2043173,0.2078633,34.0718173,33.7939738,37.3674888,1545.5342077,56392.7565063,24.1499445
2017-04-10 21:50:44.000,60.1975634,28.5203149,48.5532773,0.2027218,38.4207773,38.1074696,37.3752403,1545.6204250,56405.0029149,24.1735898
2017-04-10 21:50:55.000,60.2111458,28.5283115,50.9383301,0.2145824,40.8058301,40.4730732,37.3777226,1545.6804560,56409.6567498,24.1829633
2017-04-10 21:51:06.000,60.1929735,28.5150270,52.5224114,0.2565913,42.3899114,42.0442369,37.3749584,1545.6755804,56406.0402711,24.1920768
2017-04-10 21:51:17.000,60.1916815,28.5132645,53.0427050,0.2081555,42.9102050,42.5602877,37.3752810,1545.6808826,56406.6090172,24.1951274
2017-04-10 21:51:28.000,60.1893401,28.5105693,52.9961558,0.2418093,42.8636558,42.5141180,37.3757789,1545.6748099,56407.1358821,24.1962030
2017-04-10 21:51:39.000,60.1849995,28.5081105,53.6666357,0.2002679,43.5341357,43.1791304,37.3744637,1545.6794132,56405.5505931,24.1988946
2017-04-10 21:51:50.000,60.2019001,28.5160082,52.0043896,0.2052341,41.8718896,41.5304393,37.3806128,1545.6749291,56413.4145434,24.1937928
2017-04-10 21:52:01.000,60.2082873,28.5242828,48.8534719,0.1979892,38.7209719,38.4052163,37.3795440,1545.6385716,56411.0454513,24.1767836
2017-04-10 21:52:12.000,60.2125381,28.5298867,46.1085304,0.1844926,35.9760304,35.6826588,37.3789575,1545.6037979,56409.3710836,24.1627601
2017-04-10 21:52:23.000,60.1895127,28.5225017,43.7424848,0.1591938,33.6099848,33.3359074,37.3693570,1545.5379057,56395.2523485,24.1479075
2017-04-10 21:52:34.000,60.1883358,28.5194790,41.5739198,0.1632253,31.4414198,31.1850262,37.3715907,1545.4972128,56397.2004664,24.1413434
2017-04-10 21:52:45.000,60.1921875,28.5253550,39.6683416,0.1739174,29.5358416,29.2949874,37.3702494,1545.4763690,56394.8788613,24.1302416
2017-04-10 21:52:56.000,60.1953226,28.5275966,38.1624572,0.1666724,28.0299572,27.8013829,37.3711494,1545.4567827,56395.5539797,24.1237444
2017-04-10 21:53:07.000,60.2010336,28.5324011,36.8492250,0.1569736,26.7167250,26.4988597,37.3717749,1545.4456761,56396.0558822,24.1170072
2017-04-10 21:53:18.000,60.2186566,28.5461145,35.6748678,0.1488523,25.5423678,25.3340790,37.3736873,1545.4574586,56398.7264990,24.1088563
2017-04-10 21:53:29.000,60.2670157,28.5775305,33.8660300,0.1598949,23.7335300,23.5399916,37.3833905,1545.5048579,56412.3151507,24.0979441
2017-04-10 21:53:40.000,60.2874717,28.5897458,33.3860371,0.1530590,23.2535371,23.0639128,37.3882494,1545.5281749,56419.1414714,24.0954693
2017-04-10 21:53:51.000,60.2990964,28.6017396,32.8311703,0.1593691,22.6986703,22.5135707,37.3871114,1545.5434271,56417.9253553,24.0882367
2017-04-10 21:54:02.000,60.2966109,28.5953571,34.1806387,0.1572073,24.0481387,23.8520347,37.3899845,1545.5554601,56422.0351803,24.0982899
2017-04-10 21:54:13.000,60.2935720,28.5932702,34.0439477,0.1646275,23.9114477,23.7164585,37.3895425,1545.5482026,56421.2960285,24.0980716
2017-04-10 21:54:24.000,60.2981449,28.5948778,34.0824320,0.1423669,23.9499320,23.7546289,37.3914690,1545.5543383,56423.9539987,24.0991477
2017-04-10 21:54:35.000,60.3047607,28.5992823,33.7561222,0.1415489,23.6236222,23.4309801,37.3927345,1545.5596476,56425.7028512,24.0972351
2017-04-10 21:54:46.000,60.3138115,28.6103256,33.4826063,0.1561556,23.3501063,23.1596945,37.3904531,1545.5763843,56423.0358096,24.0906597
2017-04-10 21:54:57.000,60.3197408,28.6116122,33.2383423,0.1603039,23.1058423,22.9174224,37.3936709,1545.5784241,56427.2855137,24.0916080
2017-04-10 21:55:08.000,60.3019580,28.5993066,33.2319594,0.1597781,23.0994594,22.9110916,37.3909129,1545.5489506,56423.0559580,24.0936199
2017-04-10 21:55:19.000,60.2906937,28.5940710,34.0876220,0.1499624,23.9551220,23.7597766,37.3868786,1545.5478551,56417.7951247,24.0959864
2017-04-10 21:55:30.000,60.2809265,28.5862338,35.3369136,0.1682500,25.2044136,24.9988806,37.3858238,1545.5509295,56416.5579025,24.1031431
2017-04-10 21:55:41.000,60.2299278,28.5511087,37.1761964,0.1757870,27.0436964,26.8231648,37.3771895,1545.4971984,56404.2436239,24.1162302
2017-04-10 21:55:52.000,60.2112649,28.5357034,39.0387701,0.1967623,28.9062701,28.6705498,37.3756700,1545.4937812,56402.3079616,24.1281788
2017-04-10 21:56:03.000,60.2030879,28.5288749,41.2086099,0.2109015,31.0761099,30.8226954,37.3746449,1545.5145346,56401.5389075,24.1389462
2017-04-10 21:56:14.000,60.2006800,28.5241374,43.4899181,0.1884072,33.3574181,33.0854003,37.3759849,1545.5441616,56404.0646446,24.1512700
2017-04-10 21:56:25.000,60.2347407,28.5369941,46.2294148,0.1998589,36.0969148,35.8025574,37.3888950,1545.6316233,56422.9957509,24.1683786
2017-04-10 21:56:36.000,60.2146593,28.5280631,49.1417641,0.2146409,39.0092641,38.6911575,37.3809435,1545.6530524,56413.1991715,24.1778044
2017-04-10 21:56:47.000,60.2122925,28.5174256,52.2673523,0.2201914,42.1348523,41.7912577,37.3867092,1545.6888387,56421.7216396,24.1990277
2017-04-10 21:56:58.000,60.1511181,28.4801878,55.5129692,0.2506902,45.3804692,45.0104078,37.3721386,1545.6477991,56401.9884425,24.2143389
