11/04/2017 10:59:04 08°51.25994 S  034°35.65394 W 2044.6
Time,Conductivity,Temperature,Pressure,Chlorophyll a,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2017-04-11 10:59:04.000,59.8200307,28.6545658,13.0162694,0.3324293,2.8837694,2.8602533,37.0163031,1544.9326740,55916.9072429,23.7070744
2017-04-11 10:59:19.000,59.8364138,28.6573659,13.3898148,0.0935805,3.2573148,3.2307525,37.0254612,1544.9546281,55929.4253204,23.7146222
2017-04-11 10:59:30.000,59.8625132,28.6602694,15.3856208,0.1070187,5.2531208,5.2102834,37.0408340,1545.0106848,55950.9202913,23.7337368
2017-04-11 10:59:40.000,59.8790325,28.6655605,15.5850712,0.0788570,5.4525712,5.4081074,37.0481944,1545.0331628,55961.0742435,23.7383561
2017-04-11 10:59:51.000,59.9149172,28.6673953,17.7819009,0.0971446,7.6494009,7.5870227,37.0711816,1545.0983230,55992.7771674,23.7644120
2017-04-11 11:00:01.000,59.9971791,28.6819661,19.7518177,0.1160748,9.6193177,9.5408756,37.1167156,1545.2107408,56055.0750191,23.8021973
2017-04-11 11:00:12.000,60.0806296,28.6879889,22.4226271,0.1263580,12.2901271,12.1899055,37.1695424,1545.3242792,56127.0100768,23.8513159
2017-04-11 11:00:22.000,60.2060188,28.6896785,25.0274881,0.1427175,14.8949881,14.7735248,37.2551295,1545.4618839,56242.4523423,23.9262413
2017-04-11 11:00:33.000,60.2153582,28.6881226,26.8472076,0.1369332,16.7147076,16.5784052,37.2623232,1545.4967801,56252.7385370,23.9399389
2017-04-11 11:00:43.000,60.2177386,28.6872535,29.3511731,0.1411984,19.2186731,19.0619517,37.2638971,1545.5387640,56255.8347818,23.9520995
2017-04-11 11:00:54.000,60.2378416,28.6826103,31.3226789,0.1466321,21.1901789,21.0173806,37.2810020,1545.5800237,56279.2779111,23.9749320
2017-04-11 11:01:05.000,60.2632460,28.6791099,33.0717026,0.1497871,22.9392026,22.7521417,37.3009917,1545.6230229,56306.5299189,23.9986019
2017-04-11 11:01:16.000,60.2682410,28.6792193,34.1727597,0.1573242,24.0402597,23.8442200,37.3040610,1545.6450405,56311.0870290,24.0055721
2017-04-11 11:01:27.000,60.2778474,28.6782349,34.7300241,0.1645691,24.5975241,24.3969401,37.3113866,1545.6600280,56321.0521221,24.0137892
2017-04-11 11:01:38.000,60.2983581,28.6757678,36.6671185,0.1586680,26.5346185,26.3182382,37.3270848,1545.7038953,56342.6970534,24.0346873
2017-04-11 11:01:49.000,60.3269869,28.6725292,39.5144010,0.1681331,29.3819010,29.1423022,37.3487943,1545.7677689,56372.7061350,24.0642478
