key;types;long_name;standard_name;units;conventions;coordinates;positive;valid_min;valid_max;format;_FillValue;axis;resolution;comment;default_value;flag_values;flag_meanings;reference;coordinate_reference_frame
string;string;string;string;string;string;string;string;numeric;numeric;string;numeric;string;numeric;string;string;string;string;string;string
MSMP;float32;mean spheric diam. median;;millimeter;;;;0;99;%5.2f;99.99;;;;;;;;
MSRS;float32;sr in the sediment;;ppm;;;;0;900;%6.2f;999.99;;;;;;;;
MSSP;float32;s in suspended matter;;milligram/m3;;;;0;99.999;%6.3f;99.999;;;;;;;;
MSZW;float32;mesozooplancton dry weight;;milligram/m3;;;;0;90;%5.2f;99.99;;;;;;;;
MTHS;float32;th in the sediment;;ppm;;;;0;900;%6.2f;999.99;;;;;;;;
MTIP;float32;ti in suspended matter;;milligram/m3;;;;0;99.999;%6.3f;99.999;;;;;;;;
MTIS;float32;ti in the sediment;;%;;;;0;99;%6.3f;99.999;;;;;;;;
MUUS;float32;u in the sediment;;ppm;;;;0;900;%6.2f;999.99;;;;;;;;
MVVS;float32;v in the sediment;;ppm;;;;-50;900;%+6.2f;99.99;;;;;;;;
MYYS;float32;y in the sediment;;ppm;;;;0;900;%6.2f;999.99;;;;;;;;
MZNF;float32;zn flux in settling particles;;microgram/(m2.day);;;;0;7600;%6.2f;999.99;;;;;;;;
MZNS;float32;zn in the sediment;;ppm;;;;0;900;%6.2f;999.99;;;;;;;;
MZRS;float32;zr in the sediment;;ppm;;;;0;900;%6.2f;999.99;;;;;;;;
N15D;float32;delta 15n (15n/14n);;per thousand;;;;-2;10;%5.1f;999.9;;;;;;;;
NAVG;int32;averaged data cycle number;;1;;;;0;999;%3d;9999;;;;;;;;
NEEW;float32;dissolved neon error;;nanomole/kg;;;;0;1;%7.4f;99.9999;;;;;;;;
NEOW;float32;dissolved neon;;nanomole/kg;;;;4;8;%7.4f;99.9999;;;;;;;;
NETR;float32;net radiation;;watt/m2;;;;-500;500;%+5.1f;-999.9;;;;;;;;
NFAW;float32;autotrophic nanoflagellates;;10+3 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
NFCW;float32;number of sw nanoflagellates;;10+3 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
NFHW;float32;heterotrophic nanoflagellates;;10+3 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
NHRW;float32;ammonium regeneration;;micromole nitrogen/(m3.day);;;;0;99;%5.0f;99999;;;;;;;;
NHUW;float32;ammonium uptake;;micromole nitrogen/(m3.day);;;;0;900;%5.0f;99999;;;;;;;;
NODW;float32;dissolved organic nitrogen;;micromole/kg;;;;0;99;%5.2f;99.99;;;;;;;;
NORG;float32;dissolved organic nitrogen;;millimole/m3;;;;0;50;%6.3f;99.999;;;;;;;;
NORW;float32;nitrification;;micromole nitrogen/(m3.day);;;;0;100;%5.0f;99999;;;;;;;;
NOTT;float32;total organic nitrogen (d+p);;micromole/kg;;;;0;10;%5.2f;99.99;;;;;;;;
NOUW;float32;nitrate uptake;;micromole nitrogen/(m3.day);;;;0;900;%5.0f;99999;;;;;;;;
NSCS;float32;current north std. deviation;;cm/s;;;;0;20;%+7.3f;-99.999;;;;;;;;
NSCT;float32;current north component;;cm/second;;TIME DEPTH LATITUDE LONGITUDE;;-100;100;%7.2f;1E+36;;0.01; Current north;;;;;
NT1P;float32;total particulate nitrogen;;micromole/kg;;;;0;10;%5.2f;99.99;;;;;;;;
NTAW;float32;nitrate (no3-n) ;moles_of_nitrate_per_unit_mass_in_sea_water;micromole/kg;;TIME DEPTH LATITUDE LONGITUDE;;0;90;%5.2f;1E+36;;0.001;;;;;;
NTIW;float32;nitrite (no2-n) ;moles_of_nitrite_per_unit_mass_in_sea_water;micromole/kg;;TIME DEPTH LATITUDE LONGITUDE;;0;100;%7.3f;1E+36;;0.001;;;;;;
NTOT;float32;total nitrogen (n) content;;millimole/m3;;;;0;90;%5.2f;99.99;;;;;;;;
NTRA;float32;nitrate (no3-n) ;moles_concentration_of_nitrate_in_sea_water;millimole/m3;;TIME DEPTH LATITUDE LONGITUDE;;0;56;%6.3f;1E+36;;0.001;;;;;;
NTRI;float32;nitrite (no2-n) ;moles_concentration_of_nitrite_in_sea_water;millimole/m3;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%6.3f;1E+36;;0.001;;;;;;
NTRZ;float32;nitrate + nitrite content;;millimole/m3;;;;0;100;%6.2f;999.99;;;;;;;;
NTZW;float32;nitrate + nitrite;moles_of_nitrate_and_nitrite_per_unit_mass_in_sea_water;micromole/kg;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%6.3f;1E+36;;0.001;;;;;;
NUMP;float32;number of particles;;number/m3;;TIME DEPTH LATITUDE LONGITUDE;;0;999999;%9.0f;1E+36;;0.001;;;;;;
OMMF;float32;part. organic matter flux;;milligram/(m2.day);;;;0;600;%6.2f;999.99;;;;;;;;
OPAP;float32;opal content;;%;;;;0;99.99;%5.2f;99.99;;;;;;;;
OSAT;float32;oxygen saturation;;%;;;;0;10;%5.2f;99.99;;;;;;;;
OSMP;float32;organic suspended matter;;gramm/m3;;;;0;10;%5.2f;1E+36;;0.01;;;;;;
OXIR;float32;isotopic ratio o18/o16;;per thousand;;;;-10;10;%6.2f;999.99;;;;;;;;
PC1P;float32;particulate organic carbon/poc;;millimole/m3;;;;0;100;%6.3f;99.999;;;;;;;;
PCEW;float32;number of sw picoeucaryotes;;10+6 cell/m3;;;;0;90000;%5.0f;99999;;;;;;;;
PCO2;float32;co2 part. pres in dry/wet gas;;microatmosphere;;TIME DEPTH LATITUDE LONGITUDE;;100;700;%7.3f;1E+36;;0.001;;;;;;
PERP;float32;peridinine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
PHCW;float32;num. of sw phytoplankton cells;;10+3 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
PHEA;float32;pheophytin-a;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
PHEB;float32;pheophytin-b;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
PHEC;float32;pheophytin-c;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
