key;types;long_name;standard_name;units;conventions;coordinates;positive;valid_min;valid_max;format;_FillValue;axis;resolution;comment;default_value;flag_values;flag_meanings;reference;coordinate_reference_frame
string;string;string;string;string;string;string;string;numeric;numeric;string;numeric;string;numeric;string;string;string;string;string;string
ID;int32;acquisiton number;;1;;;;;;%05d;99999;;;Acquisition number; usually for trajectory or Time-serie;;;;
PRLF;int32;profile number;;1;;;;;;%05d;99999;;;Station number; a station could be have more than one cast;;;;
PROFILE;int32;profile number;;1;;;;;;%05d;99999;;;Station number; a station could be have more than one cast;;;;
LATITUDE;float32;latitude of measurement;latitude;degrees_north;;;;;;%8.5f;;Y;;;;;;WGS84;urn:ogc:crs:EPSG::4326
LONGITUDE;float32;longitude of measurement;longitude;degrees_east;;;;;;%9.5f;;X;;;;;;WGS84;urn:ogc:crs:EPSG::4327
TIME;float64;time of measurement;time;days since 1950-01-01T00:00:00Z;Relative julian days with decimal part (as parts of the day);;;0;90000;%6.6f;;T;;;;;;;
ETDD;float64;ellapsed time;;1;;;;0;90000;%9.5f;1E+36;;;;;;;;
DEPH;float32;depth of measurement;depth;meter;;;down;0;9000;%7.2f;1E+36;Z;;;;;;;urn:ogc:crs:EPSG::5831
DEPTH;float32;depth of measurement;depth;meter;;;down;0;9000;%7.2f;1E+36;Z;;;;;;;urn:ogc:crs:EPSG::5831
PRES;float32;sea water pressure;sea_water_pressure;decibar;;TIME DEPTH LATITUDE LONGITUDE;;0;9000;%7.2f;1E+36;;;Pressure (dbar) of the measurement;;;;;
ABCP;float32;alpha beta carotenes;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
ALKW;float32;alkalinity;;micromole/kg;;;;0;9000;%6.1f;9999.9;;;;;;;;
ALKY;float32;alkalinity;;millimole/m3;;;;1500;2500;%4.0f;9999;;;;;;;;
AMIS;float32;sediment amino-acids;;microgram/g;;;;0;7000;%4.0f;9999;;;;;;;;
AMON;float32;ammonium (nh4-n) content;;millimole/m3;;;;0;10;%6.2f;999.99;;;;;;;;
AMOW;float32;ammonium (nh4-n) content;;micromole/kg;;;;0;1;%6.3f;99.999;;;;;;;;
ASDW;float32;absorption standard deviation;;milligram/m3;;;;0;10;%5.2f;99.99;;;;;;;;
ATMP;float32;atmospheric pressure;;hectopascal;;;;1000;1030;%8.3f;9999.999;;;;;;;;
ATMS;float32;atmospheric pressure - sea lev;air_pressure_at_sea_level;hectoPascal;;TIME DEPTH LATITUDE LONGITUDE;;940;1030;%6.1f;1E+36;;0.001;Atmospheric pressure at sea level;;;;;
AXAP;float32;alloxanthine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
BATH;float32;bathymetric depth;;meter;;;;0;11000;%6.1f;-1;;0.1;;;;;;
BCCS;float32;bacteria number sediment;;10+9 cell/dm3;;;;0;9999.9;%6.1f;9999.9;;;;;;;;
BCCW;float32;number of sw bacteria;;10+9 cell/m3;;;;0;9000;%7.2f;9999.99;;;;;;;;
BCMW;float32;bacterial biomass in sea water;;milligram C/m3;;;;0;16;%6.3f;99.999;;;;;;;;
BFUP;float32;19'butanoyloxyfucoxanthine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
BOTL;int32;sea water sample bottle number;;1;;;;1;36;%3d;99999;;;;;;;;
C13D;float32;delta 13c (13c/12c);;per thousand;;;;-50;100;%5.1f;999.9;;;;;;;;
C1UW;float32;14c uptake 0.2-1 micron;;milligram carbon/(m3.day);;;;0;100;%6.2f;999.99;;;;;;;;
CDFW;float32;dark fixation;;milligram carbon/(m3.day);;;;0;2;%5.2f;99.99;;;;;;;;
CE1W;float32;dissolved cfc11 error;;picomole/kg;;;;0;0.5;%6.3f;99.999;;;;;;;;
CE2W;float32;dissolved cfc12 error;;picomole/kg;;;;0;0.5;%6.3f;99.999;;;;;;;;
CE3W;float32;dissolved cfc113 error;;picomole/kg;;;;0;0.5;%6.3f;99.999;;;;;;;;
CF1W;float32;dissolved cfc11;;picomole/kg;;;;-0.01;90;%7.4f;99.9999;;;;;;;;
CF2W;float32;dissolved cfc12;;picomole/kg;;;;-0.01;90;%7.4f;99.9999;;;;;;;;
CF3W;float32;dissolved cfc113;;picomole/kg;;;;0;5;%6.3f;99.999;;;;;;;;
CH1P;float32;chl-a(less divinylchl-a);;milligram/m3;;;;0;3;%6.3f;99.999;;;;;;;;
CH1T;float32;chlorophyll total;;microgram/kg;;;;0;10;%5.2f;99.99;;;;;;;;
CH2P;float32;chl-b(less divinylchl-b);;milligram/m3;;;;0;1;%6.3f;99.999;;;;;;;;
CHAD;float32;divinyl chlorophyll-a;;milligram/m3;;;;0;9;%6.3f;99.999;;;;;;;;
CHAE;float32;epimere chlorophyll-a;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
CHAF;float32;chlorophyll-a vertical flux;;milligram/(m2.day);;;;0;99;%6.3f;99.999;;;;;;;;
CHBD;float32;divinyl-chlorophyll-b;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
CHC3;float32;chlorophyll-c3;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
CHCZ;float32;chlorophyll-c1+c2;;milligram/m3;;;;0;900;%6.3f;99.999;;;;;;;;
CHLB;float32;chlorophyll-b total;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
CHLC;float32;chlorophyll-c total;;milligram/m3;;;;0;99;%6.3f;99.999;;;;;;;;
CHLT;float32;chlorophyll-total;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
CHTF;float32;part. total carbohydrates flux;;milligram/(m2.day);;;;0;99;%6.3f;99.999;;;;;;;;
CHTS;float32;sediment carbohydrates;;microgram/g;;;;0;7000;%4.0f;9999;;;;;;;;
CICW;float32;number of sw ciliates;;10+3 cell/m3;;;;0;90000;%5.0f;99999;;;;;;;;
CL4W;float32;dissolved c-tetrachloride;;picomole/kg;;;;0;10;%6.3f;99.999;;;;;;;;
CLAY;float32;clay in the sediment;;%;;;;0;100;%6.2f;999.99;;;;;;;;
CND1;float32;electrical conductivity primary sensor;;mho/meter;;TIME DEPTH LATITUDE LONGITUDE;;3;7;%5.3f;1E+36;;0.001;;;;;;
CND2;float32;electrical conductivity secondary sensor;;mho/meter;;TIME DEPTH LATITUDE LONGITUDE;;3;7;%5.3f;1E+36;;0.001;;;;;;
CNDC;float32;electrical conductivity;;mS/cm;;TIME DEPTH LATITUDE LONGITUDE;;30;70;%6.3f;1E+36;;0.002;;;;;;
CO2W;float32;dissolved carbon dioxyd (co2);;millimole/m3;;;;0;4800;%6.1f;9999.9;;;;;;;;
CO3F;float32;part. caco3 flux;;milligram/(m2.day);;;;0;600;%7.3f;999.999;;;;;;;;
CO3P;float32;carbonates content;;%;;;;0;99.99;%5.2f;99.99;;;;;;;;
CO3S;float32;sediment carbonates;;%;;;;0;100;%6.2f;999.99;;;;;;;;
COCW;float32;number of sw coccolithophorids;;10+3 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
CODW;float32;chemical oxygen demand;;millimole/m3;;;;0;650;%7.3f;999.999;;;;;;;;
COG;float32;course over ground;;;;;;;;%5.1f;;;;;;;;;
COPF;float32;coccolithophoridae ppc flux;;milligram C/(m2.day);;;;0;99.999;%6.3f;99.999;;;;;;;;
COPP;float32;number of copepods;;number/m3;;;;0;99999;%5.0f;99999;;;;;;;;
CORG;float32;dissolved organic carbon;;millimole/m3;;;;0;1000;%5.0f;99999;;;;;;;;
CPH1;float32;chlorophyll-a total;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
CPH2;float32;chlorophyll-a total;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
CPH3;float32;chlorophyll-a/2 micron filter;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
CPH4;float32;chlorophyll-a/20 micron filter;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
CPHL;float32;chlorophyll-a total;;milligram/m3;;;;0;99;%5.2f;99.99;;;;;;;;
CRYPTOPHYTA;float32;cryptophyta;;;;;;;;%6.3f;-300;;;;;;;;
CUPW;float32;14c production unknown filter;;milligram carbon/(m3.day);;;;0;200;%6.2f;999.99;;;;;;;;
D13C;float32;delta 13 c signature;;%;;;;-50;100;%6.2f;999.99;;;;;;;;
DATE;float32;date;;mmdd;;;;101;1231;%4.4d;9999;;;;;;;;
DAYD;float32;decimal julian day time origin 0;;1;;TIME DEPTH LATITUDE LONGITUDE;;0;3660;%9.5f;1E+36;;0.001;;;;;;
DAYS;float32;day within year;;decimal day;;;;1;366;%9.5f;999.99999;;;;;;;;
DAYX;float32;day within month;;dd;;;;1;31;%2.2d;99;;;;;;;;
DCAW;float32;dark carbon absorption;;milligram/m3;;;;-0.05;10;%5.2f;99.99;;;;;;;;
DEN1;float32;density (sigma-theta) primary sensors;;kg/m3;;;;10;35;%6.3f;99.999;;;;;;;;
DEN2;float32;density (sigma-theta) secondary sensors;;kg/m3;;;;10;35;%6.3f;99.999;;;;;;;;
DENS;float32;density;sea_water_density;kg/m3;;TIME DEPTH LATITUDE LONGITUDE;;-1.5;38;%6.3f;1E+36;;0.001;Ocean density;;;;;
DFCW;float32;number of sw dinoflagellates;;10+3 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
DFPF;float32;dinoflagellates ppc flux;;milligram C/(m2.day);;;;0;99.999;%6.3f;99.999;;;;;;;;
DIATOMS;float32;diatoms;;;;;;;;%6.3f;-300;;;;;;;;
DIPF;float32;diatoms ppc flux;;milligram C/(m2.day);;;;0;99.999;%6.3f;99.999;;;;;;;;
DO11;float32;dissolved oxygen primary sensor;;ml/l;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%5.2f;1E+36;;0.001;;;;;;
DO12;float32;dissolved oxygen primary sensor;;micromole/kg;;TIME DEPTH LATITUDE LONGITUDE;;0;450;%7.3f;1E+36;;0.001;;;;;;
DO21;float32;dissolved oxygen secondary sensor;;ml/l;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%5.2f;1E+36;;0.001;;;;;;
DO22;float32;dissolved oxygen secondary sensor;;micromole/kg;;TIME DEPTH LATITUDE LONGITUDE;;0;450;%7.3f;1E+36;;0.001;;;;;;
DOPW;float32;dissolved organic phosphorus;;millimole/m3;;;;0;50;%6.3f;99.999;;;;;;;;
DOV1;float32;dissolved oxygen primary sensor voltage;;V;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%6.4f;1E+36;;0.001;;;;;;
DOV2;float32;dissolved oxygen secondary sensor voltage;;V;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%6.4f;1E+36;;0.001;;;;;;
DOX1;float32;dissolved oxygen;volume_fraction_of_oxygen_in_sea_water;ml/l;;TIME DEPTH LATITUDE LONGITUDE;;0;10;%5.3f;1E+36;;0.001;Ocean oxygen in ml per liter;;;;;
DOX2;float32;dissolved oxygen;moles_of_oxygen_per_unit_mass_in_sea_water;micromole/kg;;TIME DEPTH LATITUDE LONGITUDE;;0;450;%7.3f;1E+36;;0.001;Ocean oxygen in micromole by kg;;;;;
DOXY;float32;dissolved oxygen;;millimole/m3;;;;0;650;%7.3f;999.999;;;;;;;;
DPS1;float32;depth below bottom-lower limit;;meters;;;;0;11000;%6.1f;-999.9;;;;;;;;
DPSF;float32;depth below sea floor;;meters;;;;0;11000;%6.1f;-999.9;;;;;;;;
DRDD;float32;duration (days);;ddd;;;;0;999;%3.0f;999;;;;;;;;
DRYT;float32;air temperature;air_temperature;degree_Celsius;;TIME DEPTH LATITUDE LONGITUDE;;-1.5;38;%6.3f;1E+36;;0.001;Air temperature;;;;;
DTCW;float32;number of sw diatoms;;10+3 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
DVT1;float32;dissolved oxygen primary sensor dv/dt;;dv/dt;;TIME DEPTH LATITUDE LONGITUDE;;-1;1;%+7.5f;1E+36;;0.001;;;;;;
DVT2;float32;dissolved oxygen secondary sensor dv/dt;;dv/dt;;TIME DEPTH LATITUDE LONGITUDE;;-1;1;%+7.5f;1E+36;;0.002;;;;;;
DXAP;float32;diadinoxanthine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
EF1W;float32;dissolved cfc11 error;;%;;;;0;100;%6.3f;99.999;;;;;;;;
EF2W;float32;dissolved cfc12 error;;%;;;;0;100;%6.3f;99.999;;;;;;;;
EF3W;float32;dissolved cfc113 error;;%;;;;0;100;%6.3f;99.999;;;;;;;;
EPMP;float32;total susp. part. matter/ester;;gram/m3;;;;0;9;%5.3f;9.999;;;;;;;;
ETHP;float32;particulate 234 th act. error;;Bq/m3;;;;0;99;%6.3f;99.999;;;;;;;;
ETHW;float32;dissolved 234 th act. error;;Bq/m3;;;;0;90;%6.3f;99.999;;;;;;;;
EWCS;float32;current east  std. deviation;;cm/s;;;;0;20;%+6.3f;99.999;;;;;;;;
EWCT;float32;current east component;;cm/second;;TIME DEPTH LATITUDE LONGITUDE;;-100;100;%7.2f;1E+36;;0.02;Current east;;;;;
FCO2;float32;co2 fugacity;;microatmosphere;;;;0;1000;%6.1f;9999.9;;;;;;;;
FLOW;float32;water flow in the instrument;;l/m;;;;0;100;%4.1f;1E+36;;0.1;;;;;;
FLPF;float32;flagellates ppc flux;;milligram C/(m2.day);;;;0;99.999;%6.3f;99.999;;;;;;;;
FLU1;float32;fluorescence;;volt;;;;-1;3;%6.3f;99.999;;;;;;;;
FLU2;float32;fluorescence;;milligram/m3;;TIME DEPTH LATITUDE LONGITUDE;;0;1;%8.4f;1E+36;;0.001;;;;;;
FLU3;float32;secondary fluorescence;;milligram/m3;;TIME DEPTH LATITUDE LONGITUDE;;0;1;%8.4f;1E+36;;0.001;;;;;;
FLUO;float32;fluorescence;;relative unit;;;;-0.1;10;%6.3f;99.999;;;;;;;;
FUCP;float32;fucoxanthine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
GLUC;float32;glucide;;milligram/m3;;;;0;200;%5.0f;99999;;;;;;;;
GPMP;float32;total susp. part. matter/glass;;gram/m3;;;;0;99;%6.3f;99.999;;;;;;;;
GREENALGEA;float32;greenalgae;;;;;;;;%6.3f;-300;;;;;;;;
GSPD;float32;gust wind speed;;meters/second;;;;0;99;%2.0f;99;;;;;;;;
H2OS;float32;water content;;%;;;;0;100;%5.1f;999.9;;;;;;;;
HBAW;float32;nb of heterotrophic bacteria;;10+6 cell/m3;;;;0;900000;%6.0f;999999;;;;;;;;
HCDT;float32;direction rel. true north;;degree;;;;0;360;%5.1f;999.9;;;;;;;;
HCSP;float32;horizontal current speed;;cm/s;;;;0;9;%5.3f;9.999;;;;;;;;
HEAD;float32;platform heading rel. north;;degree;;;;-360;360;%+5.1f;-999.9;;;;;;;;
HEADING;float32;heading;;;;;;;;%5.1f;;;;;;;;;
HEADING_DRIFT;float32;heading drift;;;;;;;;%5.1f;;;;;;;;;
HEDE;float32;helium isotopic ratio error;;%;;;;0;100;%8.4f;999.9999;;;;;;;;
HEDW;float32;helium dev. of isotopic ratio;;%;;;;-1.5;100;%8.4f;999.9999;;;;;;;;
HEEW;float32;dissolved helium error;;nanomole/kg;;;;0;1;%7.4f;99.9999;;;;;;;;
HEIG;float32;atmospheric height;;meter;;TIME DEPTH LATITUDE LONGITUDE;up;0;40000;%8.2f;1E+36;;0.1;;;;;;urn:ogc:crs:EPSG::5829
HELD;float32;delta helium 3;;%;;;;-99;99;%6.2f;999.99;;;;;;;;
HELW;float32;dissolved helium;;nanomole/kg;;;;1;2;%7.4f;99.9999;;;;;;;;
HFUP;float32;19'hexanoyloxyfucoxanthine;;milligram/m3;;;;0;5;%6.3f;99.999;;;;;;;;
